outcome,exposure_spec,coef,se,ci_low,ci_high,pval_cluster,pval_wbt,n_obs,n_clusters,r2_within,label
matdep,exposure_composite_hybrid,0.006000739465258483,0.0024922998055344862,0.0007172999002578234,0.011284179030259144,0.028478641275477612,0.2073207320732073,171999,17,,baseline_2021_2025
matdep,exposure_exp_hybrid,0.0024881149755889512,0.002532329620618499,-0.0028801840065351544,0.007856413957713058,0.3404589002318201,0.37923792379237925,171999,17,,baseline_2021_2025
matdep,exposure_cov_hybrid,0.005918804092199135,0.0018243471059709107,0.002051360994632442,0.00978624718976583,0.0050811560946741885,0.18051805180518052,171999,17,,baseline_2021_2025
matdep,exposure_composite_sim,0.006720589712706958,0.0026046272980548356,0.001134219756851628,0.012306959668562288,0.02179879493221093,0.12951295129512952,160572,15,,baseline_2021_2025
matdep,exposure_admin,0.004956281091412482,0.0019381854503102952,0.0008475114844261533,0.009065050698398809,0.021094872053253555,0.27222722272227223,171999,17,,baseline_2021_2025
poverty,exposure_composite_hybrid,-0.006567852297565783,0.0043868414360923175,-0.015867540704781264,0.0027318361096496995,0.1538152926654881,0.15121512151215122,171999,17,,baseline_2021_2025
poverty,exposure_exp_hybrid,-0.001727832305092933,0.005158062320024055,-0.012662435951025404,0.00920677134083954,0.7419938826356995,0.7768776877687769,171999,17,,baseline_2021_2025
poverty,exposure_cov_hybrid,-0.007024959212529276,0.003462464251596915,-0.014365055527853731,0.0003151371027951787,0.05944904142811991,0.0448044804480448,171999,17,,baseline_2021_2025
poverty,exposure_composite_sim,-0.005770570299891925,0.004767315966839083,-0.015995446122666384,0.0044543055228825346,0.2461486015381027,0.2642264226422642,160572,15,,baseline_2021_2025
poverty,exposure_admin,-0.0069368252805048665,0.003561936256256818,-0.014487792825632012,0.0006141422646222788,0.0692450719670541,0.052205220522052204,171999,17,,baseline_2021_2025
matdep,exposure_composite_hybrid,0.0058257546144067345,0.0027340622976828326,2.9801461147858054e-05,0.01162170776766561,0.04896576044468892,0.2617261726172617,151363,17,,covid_robust_2022_2025
matdep,exposure_exp_hybrid,0.0018911293974595844,0.002636395574362133,-0.003697779551474165,0.007480038346393334,0.48352064537300943,0.5225522552255225,151363,17,,covid_robust_2022_2025
matdep,exposure_cov_hybrid,0.0060384420159712605,0.0019382159304101847,0.0019296077940596556,0.010147276237882866,0.006660536457601562,0.21412141214121413,151363,17,,covid_robust_2022_2025
matdep,exposure_composite_sim,0.00654239415385501,0.0028327468517826094,0.00046675641591060156,0.012618031891799419,0.03667910249453099,0.1777177717771777,141345,15,,covid_robust_2022_2025
matdep,exposure_admin,0.005096489733977777,0.0020956624103548164,0.0006538838848878141,0.00953909558306774,0.027135994454759782,0.30023002300230023,151363,17,,covid_robust_2022_2025
poverty,exposure_composite_hybrid,-0.006745388912196885,0.004819752978509474,-0.016962808792276546,0.0034720309678827757,0.18074323413895477,0.1642164216421642,151363,17,,covid_robust_2022_2025
poverty,exposure_exp_hybrid,-0.0019154132318331184,0.005330544240194037,-0.013215662214353793,0.009384835750687557,0.7240480869889412,0.7626762676267627,151363,17,,covid_robust_2022_2025
poverty,exposure_cov_hybrid,-0.007142475960339436,0.004059670407108527,-0.01574859276946051,0.0014636408487816383,0.09761836621049946,0.0518051805180518,151363,17,,covid_robust_2022_2025
poverty,exposure_composite_sim,-0.005927720755633202,0.005133417884519527,-0.016937807097869857,0.005082365586603454,0.2675303291913833,0.28942894289428944,141345,15,,covid_robust_2022_2025
poverty,exposure_admin,-0.006890943046601079,0.004127206461242637,-0.01564022989476955,0.001858343801567389,0.11443564831282527,0.05330533053305331,151363,17,,covid_robust_2022_2025
