outcome,n_obs,n_clusters,controls,coef_medium,se_medium,ci_low_medium,ci_high_medium,pval_cluster_medium,pval_wbt_medium,coef_high,se_high,ci_low_high,ci_high_high,pval_cluster_high,pval_wbt_high,label,exposure_spec
poverty,171933,17,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner,0.007230637809551912,0.011615804513182266,-0.01739376773266134,0.031855043351765165,0.542395005485361,0.606960696069607,0.007420958162883239,0.010666696213009327,-0.01519142766425852,0.030033343990025,0.49659046824856246,0.5824582458245825,baseline_2021_2025,exposure_cov_hybrid
matdep,171933,17,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner,0.009733194576265721,0.004704209462148668,-0.0002392839911900084,0.01970567314372145,0.055096316364637854,0.0779077907790779,0.014112092232353666,0.0060259578256139255,0.0013376323049509153,0.026886552159756417,0.032452418126690974,0.07630763076307631,baseline_2021_2025,exposure_cov_hybrid
poverty_gap,171933,17,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner,0.004014427173354305,0.006158469763897083,-0.00904094551422499,0.017069799860933602,0.5237491315706073,0.6271627162716271,0.006259678443017665,0.005844301788471271,-0.006129687888610838,0.01864904477464617,0.3000276347451467,0.46924692469246926,baseline_2021_2025,exposure_cov_hybrid
poverty_gap_sq,171933,17,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner,0.004039441686776441,0.0043635085362467374,-0.005210783182410198,0.01328966655596308,0.36833822143765693,0.4892489248924892,0.005987114514350338,0.004460254649192521,-0.003468202952349125,0.015442431981049802,0.19822777668794522,0.35003500350035005,baseline_2021_2025,exposure_cov_hybrid
poverty,171933,17,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner,0.022197739865909644,0.008968964331015706,0.003184384852063033,0.04121109487975626,0.0248962895312399,0.0637063706370637,0.012348525049895632,0.007157227446981512,-0.002824119342692286,0.027521169442483548,0.10372772241673323,0.17311731173117312,baseline_2021_2025,exposure_exp_hybrid
matdep,171933,17,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner,-0.0005195135398442636,0.0025283747202840875,-0.005879428507791558,0.004840401428103032,0.8397937883378641,0.8407840784078408,0.009081476580777997,0.006776166207473144,-0.005283354070848312,0.023446307232404304,0.1989000567939303,0.31543154315431543,baseline_2021_2025,exposure_exp_hybrid
poverty_gap,171933,17,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner,0.008333865170421518,0.005090844105749012,-0.0024582422268651007,0.019125972567708135,0.12113874701886718,0.1693169316931693,0.004169908010986096,0.004681522379327703,-0.0057544760893735985,0.01409429211134579,0.3862796414655234,0.4018401840184018,baseline_2021_2025,exposure_exp_hybrid
poverty_gap_sq,171933,17,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner,0.005261368343471054,0.0036504714416447947,-0.0024772854103275992,0.013000022097269708,0.16878956255912536,0.21192119211921193,0.00281486437832838,0.0039176180720169144,-0.005490114932865231,0.011119843689521992,0.4828019034516422,0.5253525352535253,baseline_2021_2025,exposure_exp_hybrid
poverty,160509,15,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner,0.010898495040450725,0.010497443547663184,-0.011616282137745916,0.033413272218647365,0.3167744558564214,0.42754275427542754,0.010771842100012535,0.00918486956805042,-0.008927743879803355,0.030471428079828423,0.26045273240086053,0.44674467446744676,baseline_2021_2025,exposure_cov_sim
matdep,160509,15,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner,0.002316599745471806,0.005830519082789345,-0.010188619966945504,0.014821819457889117,0.6971208027734876,0.7151715171517151,0.012318666486938017,0.007801890479292958,-0.004414724353642176,0.02905205732751821,0.13667361857315052,0.23112311231123112,baseline_2021_2025,exposure_cov_sim
