outcome,n_obs,n_clusters,controls,coef_medium,se_medium,ci_low_medium,ci_high_medium,pval_cluster_medium,pval_wbt_medium,coef_high,se_high,ci_low_high,ci_high_high,pval_cluster_high,pval_wbt_high,period,sample_rule,control_spec,exposure_spec,common_sample_n_before_outcome_missing
poverty,171999,17,,0.001116632495467992,0.011604156427300286,-0.023483080207758265,0.02571634519869425,0.9245353152798081,0.9316931693169317,-0.007443795670834529,0.010712842937917248,-0.030154008184650298,0.015266416842981238,0.4971180974708227,0.5143514351435143,baseline_2021_2025,available_case,unadjusted,exposure_cov_hybrid,171999
matdep,171999,17,,0.008219885254431784,0.004721172837968639,-0.001788554063317382,0.018228324572180953,0.100862342762301,0.1326132613261326,0.008643573229710504,0.005894007857719244,-0.003851165261520236,0.021138311720941244,0.16189024772128913,0.21222122212221223,baseline_2021_2025,available_case,unadjusted,exposure_cov_hybrid,171999
poverty_gap,171999,17,,0.0013460388327509627,0.00624942173521231,-0.011902143420794101,0.014594221086296027,0.8321878646987457,0.8663866386638663,-0.0014662595164109016,0.0057046846572229165,-0.013559650751643948,0.010627131718822146,0.8004337646271096,0.813081308130813,baseline_2021_2025,available_case,unadjusted,exposure_cov_hybrid,171999
poverty_gap_sq,171999,17,,0.0023297096670987227,0.004456786492109077,-0.007118255635021017,0.011777674969218463,0.6083231342162463,0.6767676767676768,0.0007717660033209508,0.0043201446219093605,-0.008386531474066905,0.009930063480708807,0.860460033455434,0.883988398839884,baseline_2021_2025,available_case,unadjusted,exposure_cov_hybrid,171999
poverty,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,-0.0014151131862935368,0.010680217786739112,-0.02405616346923888,0.02122593709665181,0.896241988328665,0.9130913091309131,-0.008396221042215922,0.009585203183005245,-0.02871594406398118,0.011923501979549335,0.39401468477693946,0.40344034403440343,baseline_2021_2025,available_case,preferred_demographic,exposure_cov_hybrid,171999
matdep,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.007068201264849717,0.004955317169348472,-0.0034366018617741747,0.01757300439147361,0.172977811793936,0.23222322232223222,0.008304632838594912,0.005419598884452298,-0.003184403556209116,0.01979366923339894,0.14497298125906055,0.18671867186718671,baseline_2021_2025,available_case,preferred_demographic,exposure_cov_hybrid,171999
poverty_gap,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,-3.539762763076416e-05,0.006051406538265444,-0.012863806415841826,0.012793011160580297,0.9954051239304547,0.9944994499449945,-0.0017073649105611248,0.005323426109993937,-0.01299252413115006,0.009577794310027811,0.7525684633615515,0.7723772377237724,baseline_2021_2025,available_case,preferred_demographic,exposure_cov_hybrid,171999
poverty_gap_sq,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.0012880830765384858,0.004316103946517712,-0.007861648551674183,0.010437814704751155,0.769210917332068,0.7953795379537953,0.0006051112119733086,0.004048321708568919,-0.007976947430974386,0.009187169854921004,0.8830489866523461,0.892089208920892,baseline_2021_2025,available_case,preferred_demographic,exposure_cov_hybrid,171999
poverty,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner,-0.0011881309869403885,0.011546498452759669,-0.02566561424439563,0.02328935227051485,0.9193212631967635,0.9287928792879288,-0.007210350465682591,0.010139149587915943,-0.0287043874067026,0.014283686475337419,0.48723647972137174,0.5033503350335033,baseline_2021_2025,available_case,extended_composition,exposure_cov_hybrid,171999
matdep,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner,0.007156365606178924,0.004974941562197476,-0.0033900393748395718,0.017702770587197422,0.16957097108912222,0.22802280228022803,0.009147415853830375,0.004914541098741103,-0.0012709458646315355,0.019565777572292286,0.08117753654439475,0.1262126212621262,baseline_2021_2025,available_case,extended_composition,exposure_cov_hybrid,171999
poverty_gap,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner,7.45403781226873e-05,0.0063737547009455634,-0.013437215988348196,0.01358629674459357,0.9908136214994514,0.9914991499149916,-0.0012227525040795066,0.005518307659226566,-0.01292104215360714,0.010475537145448128,0.827443292197473,0.8418841884188419,baseline_2021_2025,available_case,extended_composition,exposure_cov_hybrid,171999
poverty_gap_sq,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner,0.0013365869898666724,0.004500346661400525,-0.008203721745968982,0.010876895725702326,0.7702902385829882,0.812981298129813,0.0008862394349622269,0.004113192365859414,-0.007833338858139555,0.009605817728064008,0.832129206765668,0.8607860786078608,baseline_2021_2025,available_case,extended_composition,exposure_cov_hybrid,171999
poverty,171933,17,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner,0.007230637809551912,0.011615804513182266,-0.01739376773266134,0.031855043351765165,0.542395005485361,0.6141614161416141,0.007420958162883239,0.010666696213009327,-0.01519142766425852,0.030033343990025,0.49659046824856246,0.5772577257725773,baseline_2021_2025,available_case,legacy_full,exposure_cov_hybrid,171999
matdep,171933,17,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner,0.009733194576265721,0.004704209462148668,-0.0002392839911900084,0.01970567314372145,0.055096316364637854,0.07160716071607161,0.014112092232353666,0.0060259578256139255,0.0013376323049509153,0.026886552159756417,0.032452418126690974,0.075007500750075,baseline_2021_2025,available_case,legacy_full,exposure_cov_hybrid,171999
poverty_gap,171933,17,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner,0.004014427173354305,0.006158469763897083,-0.00904094551422499,0.017069799860933602,0.5237491315706073,0.6223622362236224,0.006259678443017665,0.005844301788471271,-0.006129687888610838,0.01864904477464617,0.3000276347451467,0.46124612461246123,baseline_2021_2025,available_case,legacy_full,exposure_cov_hybrid,171999
poverty_gap_sq,171933,17,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner,0.004039441686776441,0.0043635085362467374,-0.005210783182410198,0.01328966655596308,0.36833822143765693,0.49404940494049404,0.005987114514350338,0.004460254649192521,-0.003468202952349125,0.015442431981049802,0.19822777668794522,0.34483448344834483,baseline_2021_2025,available_case,legacy_full,exposure_cov_hybrid,171999
poverty,171152,17,,0.0011330118835648588,0.011596766961096582,-0.02345103585109775,0.02571705961822747,0.9233834368275216,0.9345934593459346,-0.007645798512456826,0.010798000491095711,-0.030536536974524332,0.01524493994961068,0.48908611061042184,0.5067506750675067,baseline_2021_2025,common_sample,unadjusted,exposure_cov_hybrid,171152
matdep,171152,17,,0.008176761821835502,0.004581376513481856,-0.0015353225268224802,0.017888846170493484,0.09326687444910875,0.1257125712571257,0.008851625828770493,0.005934150408328075,-0.003728211068220166,0.02143146272576115,0.1552458942541428,0.20532053205320533,baseline_2021_2025,common_sample,unadjusted,exposure_cov_hybrid,171152
poverty_gap,171152,17,,0.0012886450818678887,0.006256340138877003,-0.011974203532268109,0.014551493696003887,0.8394090171229212,0.8726872687268726,-0.00156074746714868,0.0057520654790725375,-0.013754581557702197,0.010633086623404836,0.7896015984710281,0.8041804180418042,baseline_2021_2025,common_sample,unadjusted,exposure_cov_hybrid,171152
poverty_gap_sq,171152,17,,0.0022667124404574,0.004453200380118674,-0.007173650643850282,0.011707075524765083,0.6176942579743563,0.6914691469146915,0.0006821911034896126,0.0043598250996827225,-0.008560225229005625,0.009924607435984851,0.8776182169905913,0.8986898689868987,baseline_2021_2025,common_sample,unadjusted,exposure_cov_hybrid,171152
poverty,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,-0.0014151131862935368,0.010680217786739112,-0.02405616346923888,0.02122593709665181,0.896241988328665,0.9130913091309131,-0.008396221042215922,0.009585203183005245,-0.02871594406398118,0.011923501979549335,0.39401468477693946,0.40344034403440343,baseline_2021_2025,common_sample,preferred_demographic,exposure_cov_hybrid,171152
matdep,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.007068201264849717,0.004955317169348472,-0.0034366018617741747,0.01757300439147361,0.172977811793936,0.23222322232223222,0.008304632838594912,0.005419598884452298,-0.003184403556209116,0.01979366923339894,0.14497298125906055,0.18671867186718671,baseline_2021_2025,common_sample,preferred_demographic,exposure_cov_hybrid,171152
poverty_gap,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,-3.539762763076416e-05,0.006051406538265444,-0.012863806415841826,0.012793011160580297,0.9954051239304547,0.9944994499449945,-0.0017073649105611248,0.005323426109993937,-0.01299252413115006,0.009577794310027811,0.7525684633615515,0.7723772377237724,baseline_2021_2025,common_sample,preferred_demographic,exposure_cov_hybrid,171152
poverty_gap_sq,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.0012880830765384858,0.004316103946517712,-0.007861648551674183,0.010437814704751155,0.769210917332068,0.7953795379537953,0.0006051112119733086,0.004048321708568919,-0.007976947430974386,0.009187169854921004,0.8830489866523461,0.892089208920892,baseline_2021_2025,common_sample,preferred_demographic,exposure_cov_hybrid,171152
poverty,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner,-0.0011881309869403885,0.011546498452759669,-0.02566561424439563,0.02328935227051485,0.9193212631967635,0.9287928792879288,-0.007210350465682591,0.010139149587915943,-0.0287043874067026,0.014283686475337419,0.48723647972137174,0.5033503350335033,baseline_2021_2025,common_sample,extended_composition,exposure_cov_hybrid,171152
matdep,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner,0.007156365606178924,0.004974941562197476,-0.0033900393748395718,0.017702770587197422,0.16957097108912222,0.22802280228022803,0.009147415853830375,0.004914541098741103,-0.0012709458646315355,0.019565777572292286,0.08117753654439475,0.1262126212621262,baseline_2021_2025,common_sample,extended_composition,exposure_cov_hybrid,171152
poverty_gap,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner,7.45403781226873e-05,0.0063737547009455634,-0.013437215988348196,0.01358629674459357,0.9908136214994514,0.9914991499149916,-0.0012227525040795066,0.005518307659226566,-0.01292104215360714,0.010475537145448128,0.827443292197473,0.8418841884188419,baseline_2021_2025,common_sample,extended_composition,exposure_cov_hybrid,171152
poverty_gap_sq,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner,0.0013365869898666724,0.004500346661400525,-0.008203721745968982,0.010876895725702326,0.7702902385829882,0.812981298129813,0.0008862394349622269,0.004113192365859414,-0.007833338858139555,0.009605817728064008,0.832129206765668,0.8607860786078608,baseline_2021_2025,common_sample,extended_composition,exposure_cov_hybrid,171152
poverty,171149,17,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner,0.007221792338730243,0.011616004711345202,-0.017403037604629513,0.031846622282089995,0.5428900818616742,0.6113611361136113,0.00715417572127687,0.010755471946960693,-0.015646406254710647,0.029954757697264387,0.5154187071662233,0.591959195919592,baseline_2021_2025,common_sample,legacy_full,exposure_cov_hybrid,171152
matdep,171149,17,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner,0.009761793176736104,0.004603974318683376,1.803621080650325e-06,0.01952178273239156,0.04996248418926741,0.0611061106110611,0.014216887237459367,0.0060503137118403365,0.0013907951377780184,0.027042979337140716,0.03194983606197899,0.07300730073007301,baseline_2021_2025,common_sample,legacy_full,exposure_cov_hybrid,171152
poverty_gap,171149,17,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner,0.0039550929454994855,0.0061689162703297135,-0.009122425346424691,0.017032611237423664,0.5305137925406871,0.6339633963396339,0.0061382275581278204,0.005900703010642981,-0.006370704023265045,0.018647159139520687,0.31368723238889107,0.47764776477647763,baseline_2021_2025,common_sample,legacy_full,exposure_cov_hybrid,171152
poverty_gap_sq,171149,17,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner,0.003975411306910855,0.004365808854429634,-0.005279690018981602,0.013230512632803313,0.376032018466919,0.5008500850085008,0.005886219327998377,0.004507585740332433,-0.0036694355696265104,0.015441874225623264,0.2100685565157392,0.35813581358135815,baseline_2021_2025,common_sample,legacy_full,exposure_cov_hybrid,171152
poverty,171999,17,,0.027168668809467132,0.009078740724368642,0.007922598237622237,0.04641473938131203,0.008612119502388271,0.0409040904090409,0.007498781838886657,0.0074692422584106966,-0.008335304405885511,0.023332868083658826,0.3303430276002528,0.4087408740874087,baseline_2021_2025,available_case,unadjusted,exposure_exp_hybrid,171999
matdep,171999,17,,0.001276692333576261,0.0026327659978293014,-0.00430452225683161,0.006857906923984131,0.6343022755648131,0.6442644264426443,0.009458476000766509,0.005408874160964114,-0.0020078249958822326,0.02092477699741525,0.09949935043993596,0.1865186518651865,baseline_2021_2025,available_case,unadjusted,exposure_exp_hybrid,171999
poverty_gap,171999,17,,0.01074487854426286,0.005190198832513798,-0.0002578514647951103,0.021747608553320828,0.054972329107199513,0.12991299129912992,0.0014262582435192238,0.003956768808425295,-0.006961716921254928,0.009814233408293375,0.7232174440097032,0.7643764376437644,baseline_2021_2025,available_case,unadjusted,exposure_exp_hybrid,171999
poverty_gap_sq,171999,17,,0.0069311339359987255,0.003701829540420477,-0.0009163941235524244,0.014778661995549875,0.07955055255261745,0.1646164616461646,0.0008783244007829882,0.0033902927868976755,-0.00630877524407299,0.008065424045638966,0.7988845323043656,0.8232823282328233,baseline_2021_2025,available_case,unadjusted,exposure_exp_hybrid,171999
poverty,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.022828292486914408,0.00847639988360299,0.004859127455346005,0.04079745751848281,0.015994482698137746,0.07170717071707171,0.0025785198462222637,0.007705410333848584,-0.013756220353177567,0.018913260045622094,0.7422451538383408,0.7752775277527753,baseline_2021_2025,available_case,preferred_demographic,exposure_exp_hybrid,171999
matdep,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,-0.00045243895348042666,0.0026914056431557648,-0.0061579640387603215,0.005253086131799468,0.8686071876620423,0.8758875887588758,0.00684370652593298,0.005203855638789266,-0.004187974619118791,0.01787538767098475,0.20700594182325283,0.2911291129112911,baseline_2021_2025,available_case,preferred_demographic,exposure_exp_hybrid,171999
poverty_gap,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.008974993213925982,0.005176324901194894,-0.0019983253746080117,0.019948311802459977,0.10216645892678633,0.1621162116211621,-0.0008087280049758243,0.00395289846779903,-0.009188498414146568,0.007571042404194918,0.8404714731943161,0.8578857885788579,baseline_2021_2025,available_case,preferred_demographic,exposure_exp_hybrid,171999
poverty_gap_sq,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.005788382183317716,0.0036457238404271303,-0.0019402071055010213,0.013516971472136454,0.13191297809943503,0.1933193319331933,-0.0005736414836981025,0.0033268791731420654,-0.007626310272710792,0.006479027305314588,0.8652645995977033,0.8822882288228823,baseline_2021_2025,available_case,preferred_demographic,exposure_exp_hybrid,171999
poverty,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner,0.02295183811224721,0.009227138956624734,0.00339117734144756,0.04251249888304686,0.02428029209705329,0.0895089508950895,-0.0007333578248757893,0.008236759907849556,-0.018194508801939235,0.016727793152187656,0.9301592470408502,0.936993699369937,baseline_2021_2025,available_case,extended_composition,exposure_exp_hybrid,171999
matdep,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner,-0.00038272406450010293,0.0028244995753262973,-0.006370395681882504,0.005604947552882297,0.893905436111794,0.89008900890089,0.00454311090345808,0.005240129470878647,-0.006565467330463032,0.015651689137379195,0.39876648718724184,0.4454445444544454,baseline_2021_2025,available_case,extended_composition,exposure_exp_hybrid,171999
poverty_gap,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner,0.009029753803806159,0.005502811948019551,-0.0026356864054185216,0.02069519401303084,0.12031879967860437,0.1855185518551855,-0.002174129326744612,0.004160769165354832,-0.010994565929216717,0.006646307275727492,0.6084608430734,0.6449644964496449,baseline_2021_2025,available_case,extended_composition,exposure_exp_hybrid,171999
poverty_gap_sq,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner,0.005816357619778743,0.0038205910693340445,-0.0022829336342598972,0.013915648873817384,0.1474338931996635,0.22572257225722572,-0.001355213323420453,0.003394174137990166,-0.00855054106502554,0.005840114418184634,0.6949685352972732,0.7301730173017301,baseline_2021_2025,available_case,extended_composition,exposure_exp_hybrid,171999
poverty,171933,17,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner,0.022197739865909644,0.008968964331015706,0.003184384852063033,0.04121109487975626,0.0248962895312399,0.0613061306130613,0.012348525049895632,0.007157227446981512,-0.002824119342692286,0.027521169442483548,0.10372772241673323,0.16821682168216823,baseline_2021_2025,available_case,legacy_full,exposure_exp_hybrid,171999
matdep,171933,17,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner,-0.0005195135398442636,0.0025283747202840875,-0.005879428507791558,0.004840401428103032,0.8397937883378641,0.8463846384638464,0.009081476580777997,0.006776166207473144,-0.005283354070848312,0.023446307232404304,0.1989000567939303,0.32513251325132514,baseline_2021_2025,available_case,legacy_full,exposure_exp_hybrid,171999
poverty_gap,171933,17,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner,0.008333865170421518,0.005090844105749012,-0.0024582422268651007,0.019125972567708135,0.12113874701886718,0.16561656165616562,0.004169908010986096,0.004681522379327703,-0.0057544760893735985,0.01409429211134579,0.3862796414655234,0.40824082408240825,baseline_2021_2025,available_case,legacy_full,exposure_exp_hybrid,171999
poverty_gap_sq,171933,17,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner,0.005261368343471054,0.0036504714416447947,-0.0024772854103275992,0.013000022097269708,0.16878956255912536,0.20552055205520553,0.00281486437832838,0.0039176180720169144,-0.005490114932865231,0.011119843689521992,0.4828019034516422,0.5188518851885189,baseline_2021_2025,available_case,legacy_full,exposure_exp_hybrid,171999
poverty,171152,17,,0.027531296273847893,0.008938087252282786,0.00858339774283167,0.046479194804864114,0.007170773732540159,0.0336033603360336,0.007872814621769903,0.00752693929123375,-0.008083583868633197,0.023829213112173002,0.31112855160536945,0.3868386838683868,baseline_2021_2025,common_sample,unadjusted,exposure_exp_hybrid,171152
matdep,171152,17,,0.0013070581609973724,0.0025973004747014018,-0.004198972878992009,0.006813089200986754,0.6216545409853795,0.6373637363736374,0.00959631367494113,0.005420660378516721,-0.0018949729867551602,0.021087600336637417,0.0957220234578724,0.18141814181418142,baseline_2021_2025,common_sample,unadjusted,exposure_exp_hybrid,171152
poverty_gap,171152,17,,0.0108574817228691,0.0051891705373637775,-0.00014306839785117702,0.02185803184358938,0.05270608584987446,0.1263126312631263,0.0015793664647442088,0.003961640750216508,-0.006818936755250632,0.00997766968473905,0.6954101700818103,0.7430743074307431,baseline_2021_2025,common_sample,unadjusted,exposure_exp_hybrid,171152
poverty_gap_sq,171152,17,,0.00699089648123389,0.0037062949871835018,-0.0008660979025735876,0.014847890865041367,0.07755102165710781,0.15831583158315832,0.0010026487239011732,0.0033951796376819614,-0.006194810581828916,0.008200108029631262,0.7715508092738594,0.802080208020802,baseline_2021_2025,common_sample,unadjusted,exposure_exp_hybrid,171152
poverty,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.022828292486914408,0.00847639988360299,0.004859127455346005,0.04079745751848281,0.015994482698137746,0.07170717071707171,0.0025785198462222637,0.007705410333848584,-0.013756220353177567,0.018913260045622094,0.7422451538383408,0.7752775277527753,baseline_2021_2025,common_sample,preferred_demographic,exposure_exp_hybrid,171152
matdep,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,-0.00045243895348042666,0.0026914056431557648,-0.0061579640387603215,0.005253086131799468,0.8686071876620423,0.8758875887588758,0.00684370652593298,0.005203855638789266,-0.004187974619118791,0.01787538767098475,0.20700594182325283,0.2911291129112911,baseline_2021_2025,common_sample,preferred_demographic,exposure_exp_hybrid,171152
poverty_gap,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.008974993213925982,0.005176324901194894,-0.0019983253746080117,0.019948311802459977,0.10216645892678633,0.1621162116211621,-0.0008087280049758243,0.00395289846779903,-0.009188498414146568,0.007571042404194918,0.8404714731943161,0.8578857885788579,baseline_2021_2025,common_sample,preferred_demographic,exposure_exp_hybrid,171152
poverty_gap_sq,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.005788382183317716,0.0036457238404271303,-0.0019402071055010213,0.013516971472136454,0.13191297809943503,0.1933193319331933,-0.0005736414836981025,0.0033268791731420654,-0.007626310272710792,0.006479027305314588,0.8652645995977033,0.8822882288228823,baseline_2021_2025,common_sample,preferred_demographic,exposure_exp_hybrid,171152
poverty,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner,0.02295183811224721,0.009227138956624734,0.00339117734144756,0.04251249888304686,0.02428029209705329,0.0895089508950895,-0.0007333578248757893,0.008236759907849556,-0.018194508801939235,0.016727793152187656,0.9301592470408502,0.936993699369937,baseline_2021_2025,common_sample,extended_composition,exposure_exp_hybrid,171152
matdep,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner,-0.00038272406450010293,0.0028244995753262973,-0.006370395681882504,0.005604947552882297,0.893905436111794,0.89008900890089,0.00454311090345808,0.005240129470878647,-0.006565467330463032,0.015651689137379195,0.39876648718724184,0.4454445444544454,baseline_2021_2025,common_sample,extended_composition,exposure_exp_hybrid,171152
poverty_gap,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner,0.009029753803806159,0.005502811948019551,-0.0026356864054185216,0.02069519401303084,0.12031879967860437,0.1855185518551855,-0.002174129326744612,0.004160769165354832,-0.010994565929216717,0.006646307275727492,0.6084608430734,0.6449644964496449,baseline_2021_2025,common_sample,extended_composition,exposure_exp_hybrid,171152
poverty_gap_sq,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner,0.005816357619778743,0.0038205910693340445,-0.0022829336342598972,0.013915648873817384,0.1474338931996635,0.22572257225722572,-0.001355213323420453,0.003394174137990166,-0.00855054106502554,0.005840114418184634,0.6949685352972732,0.7301730173017301,baseline_2021_2025,common_sample,extended_composition,exposure_exp_hybrid,171152
poverty,171149,17,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner,0.022570291322699082,0.008853237686881696,0.003802265835013252,0.04133831681038491,0.021429983402441843,0.060106010601060106,0.012718990643482678,0.007127933376552228,-0.00239155309396644,0.027829534380931796,0.09333334677523597,0.15231523152315232,baseline_2021_2025,common_sample,legacy_full,exposure_exp_hybrid,171152
