period,sample_rule,control_spec,exposure_spec,outcome,n_obs,coef_medium,pval_wbt_medium,coef_high,pval_wbt_high,controls
baseline_2021_2025,available_case,unadjusted,exposure_cov_hybrid,poverty,171999,0.001116632495467992,0.9316931693169317,-0.007443795670834529,0.5143514351435143,
baseline_2021_2025,available_case,unadjusted,exposure_cov_hybrid,matdep,171999,0.008219885254431784,0.1326132613261326,0.008643573229710504,0.21222122212221223,
baseline_2021_2025,available_case,unadjusted,exposure_cov_hybrid,poverty_gap,171999,0.0013460388327509627,0.8663866386638663,-0.0014662595164109016,0.813081308130813,
baseline_2021_2025,available_case,unadjusted,exposure_cov_hybrid,poverty_gap_sq,171999,0.0023297096670987227,0.6767676767676768,0.0007717660033209508,0.883988398839884,
baseline_2021_2025,available_case,preferred_demographic,exposure_cov_hybrid,poverty,171152,-0.0014151131862935368,0.9130913091309131,-0.008396221042215922,0.40344034403440343,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group
baseline_2021_2025,available_case,preferred_demographic,exposure_cov_hybrid,matdep,171152,0.007068201264849717,0.23222322232223222,0.008304632838594912,0.18671867186718671,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group
baseline_2021_2025,available_case,preferred_demographic,exposure_cov_hybrid,poverty_gap,171152,-3.539762763076416e-05,0.9944994499449945,-0.0017073649105611248,0.7723772377237724,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group
baseline_2021_2025,available_case,preferred_demographic,exposure_cov_hybrid,poverty_gap_sq,171152,0.0012880830765384858,0.7953795379537953,0.0006051112119733086,0.892089208920892,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group
baseline_2021_2025,available_case,extended_composition,exposure_cov_hybrid,poverty,171152,-0.0011881309869403885,0.9287928792879288,-0.007210350465682591,0.5033503350335033,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner
baseline_2021_2025,available_case,extended_composition,exposure_cov_hybrid,matdep,171152,0.007156365606178924,0.22802280228022803,0.009147415853830375,0.1262126212621262,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner
baseline_2021_2025,available_case,extended_composition,exposure_cov_hybrid,poverty_gap,171152,7.45403781226873e-05,0.9914991499149916,-0.0012227525040795066,0.8418841884188419,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner
baseline_2021_2025,available_case,extended_composition,exposure_cov_hybrid,poverty_gap_sq,171152,0.0013365869898666724,0.812981298129813,0.0008862394349622269,0.8607860786078608,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner
baseline_2021_2025,available_case,legacy_full,exposure_cov_hybrid,poverty,171933,0.007230637809551912,0.6141614161416141,0.007420958162883239,0.5772577257725773,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner
baseline_2021_2025,available_case,legacy_full,exposure_cov_hybrid,matdep,171933,0.009733194576265721,0.07160716071607161,0.014112092232353666,0.075007500750075,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner
baseline_2021_2025,available_case,legacy_full,exposure_cov_hybrid,poverty_gap,171933,0.004014427173354305,0.6223622362236224,0.006259678443017665,0.46124612461246123,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner
baseline_2021_2025,available_case,legacy_full,exposure_cov_hybrid,poverty_gap_sq,171933,0.004039441686776441,0.49404940494049404,0.005987114514350338,0.34483448344834483,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner
baseline_2021_2025,common_sample,unadjusted,exposure_cov_hybrid,poverty,171152,0.0011330118835648588,0.9345934593459346,-0.007645798512456826,0.5067506750675067,
baseline_2021_2025,common_sample,unadjusted,exposure_cov_hybrid,matdep,171152,0.008176761821835502,0.1257125712571257,0.008851625828770493,0.20532053205320533,
baseline_2021_2025,common_sample,unadjusted,exposure_cov_hybrid,poverty_gap,171152,0.0012886450818678887,0.8726872687268726,-0.00156074746714868,0.8041804180418042,
baseline_2021_2025,common_sample,unadjusted,exposure_cov_hybrid,poverty_gap_sq,171152,0.0022667124404574,0.6914691469146915,0.0006821911034896126,0.8986898689868987,
baseline_2021_2025,common_sample,preferred_demographic,exposure_cov_hybrid,poverty,171152,-0.0014151131862935368,0.9130913091309131,-0.008396221042215922,0.40344034403440343,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group
