outcome,n_obs,n_clusters,controls,coef_medium,se_medium,ci_low_medium,ci_high_medium,pval_cluster_medium,pval_wbt_medium,coef_high,se_high,ci_low_high,ci_high_high,pval_cluster_high,pval_wbt_high,label,exposure_spec,control_spec
poverty,150621,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,-0.0008971987746146099,0.011411300408367304,-0.025088074981318126,0.023293677432088905,0.9383068432347987,0.927992799279928,-0.008989919643647573,0.010113064901823947,-0.030428659520392635,0.012448820233097487,0.3872044904642842,0.38903890389038903,covid_robust_2022_2025,exposure_cov_hybrid,preferred_demographic
matdep,150621,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.008479478106958236,0.0050740011592946424,-0.002276923838885265,0.01923588005280174,0.11413044426420393,0.14001400140014,0.007462487641306593,0.005682123241763873,-0.004583075529736894,0.019508050812350082,0.20759586897574023,0.26372637263726373,covid_robust_2022_2025,exposure_cov_hybrid,preferred_demographic
poverty_gap,150621,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.0003590233944042219,0.006355593768532565,-0.013114233515205548,0.01383228030401399,0.9556514031017551,0.9577957795779578,-0.002112312805790812,0.005535576428568854,-0.013847210610958194,0.00962258499937657,0.7077865810066606,0.7272727272727273,covid_robust_2022_2025,exposure_cov_hybrid,preferred_demographic
poverty_gap_sq,150621,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.0016110441916069758,0.004415991709242495,-0.007750440034133315,0.010972528417347267,0.7200226675412531,0.7602760276027603,0.0003933368855546968,0.00408955789047155,-0.008276138557928038,0.009062812329037431,0.9245713959028268,0.9282928292829283,covid_robust_2022_2025,exposure_cov_hybrid,preferred_demographic
poverty,150621,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.023252881624049142,0.009793020031574872,0.0024926065637336722,0.04401315668436461,0.030426487605542007,0.11411141114111412,0.0009228540902346216,0.008176360494204404,-0.01641025584977261,0.018255964030241854,0.9115387643849107,0.92009200920092,covid_robust_2022_2025,exposure_exp_hybrid,preferred_demographic
matdep,150621,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.0002748662084364912,0.0026083769005122975,-0.0052546458053258395,0.0058043782221988225,0.917385467307885,0.915991599159916,0.00670533840021003,0.0054120902107012685,-0.004767780317319066,0.018178457117739126,0.23323020041440778,0.31513151315131516,covid_robust_2022_2025,exposure_exp_hybrid,preferred_demographic
poverty_gap,150621,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.009003328628507598,0.005499242922737072,-0.0026545455851077013,0.020661202842122896,0.12110419353261404,0.19721972197219723,-0.0020669125996184952,0.004299320572730895,-0.011181065064801678,0.007047239865564689,0.637199633850011,0.6737673767376737,covid_robust_2022_2025,exposure_exp_hybrid,preferred_demographic
poverty_gap_sq,150621,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.005617666139721124,0.003704355408036781,-0.0022352165199749606,0.013470548799417208,0.14889975440743863,0.22812281228122813,-0.0015101661356745637,0.0035529031949325857,-0.009041984446232278,0.006021652174883151,0.676460540083319,0.7069706970697069,covid_robust_2022_2025,exposure_exp_hybrid,preferred_demographic
poverty,140642,15,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.004431990986705117,0.011179963181608387,-0.01954664521661973,0.028410627190029965,0.697769706985969,0.7261726172617262,-0.0015230983179443203,0.007549361749383627,-0.01771486890029819,0.014668672264409547,0.843012792764942,0.8566856685668567,covid_robust_2022_2025,exposure_cov_sim,preferred_demographic
matdep,140642,15,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.0011247829875192844,0.005976935122624498,-0.011694467898034105,0.013944033873072675,0.8534303403755059,0.8416841684168417,0.00645649273100916,0.007164522177119712,-0.008909879059769081,0.0218228645217874,0.38273637094027047,0.44204420442044207,covid_robust_2022_2025,exposure_cov_sim,preferred_demographic
