outcome,n_obs,n_clusters,controls,coef_medium,se_medium,ci_low_medium,ci_high_medium,pval_cluster_medium,pval_wbt_medium,coef_high,se_high,ci_low_high,ci_high_high,pval_cluster_high,pval_wbt_high,label,exposure_spec,control_spec
poverty,126868,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,-0.000287746349367998,0.012114835166056602,-0.025970049617083397,0.0253945569183474,0.981344472351593,0.97999799979998,-0.009774236467531196,0.010651178108059479,-0.032353725381755905,0.012805252446693508,0.37241957739928244,0.37593759375937597,late_post_2023_2025,exposure_cov_hybrid,preferred_demographic
matdep,126868,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.007794515921001079,0.005554541035340486,-0.0039805850545591315,0.01956961689656129,0.179645396540568,0.23542354235423543,0.006237365813345248,0.006144695604603954,-0.006788806960956225,0.01926353858764672,0.32517207323702335,0.3645364536453645,late_post_2023_2025,exposure_cov_hybrid,preferred_demographic
poverty_gap,126868,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.0004455350749280266,0.006686777314461488,-0.013729799588711351,0.014620869738567403,0.947702327604866,0.9593959395939594,-0.0027241505311127777,0.005785334074425947,-0.014988510893253634,0.00954020983102808,0.6440879574438143,0.6637663766376638,late_post_2023_2025,exposure_cov_hybrid,preferred_demographic
poverty_gap_sq,126868,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.0014496378808368647,0.004590742615462934,-0.00828230171704385,0.011181577478717581,0.7562556272822745,0.7941794179417941,-0.00010247385139849053,0.004227394953669366,-0.00906415081558337,0.008859203112786389,0.9809605826228707,0.9805980598059806,late_post_2023_2025,exposure_cov_hybrid,preferred_demographic
poverty,126868,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.02526094535632329,0.010745334735670705,0.002481853308268743,0.04804003740437784,0.03188045815887919,0.11921192119211921,0.0009791328424277482,0.008401263010284231,-0.0168307491332253,0.0187890148180808,0.908670243456283,0.9191919191919192,late_post_2023_2025,exposure_exp_hybrid,preferred_demographic
matdep,126868,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,2.9510079426561726e-05,0.0034322607606502155,-0.007246557695385005,0.007305577854238128,0.9932462804010844,0.9915991599159916,0.007245854412613545,0.005725105829189668,-0.004890827773288127,0.019382536598515215,0.22376643600456947,0.3053305330533053,late_post_2023_2025,exposure_exp_hybrid,preferred_demographic
poverty_gap,126868,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.009905559810116255,0.005763142995732127,-0.0023117575667061362,0.022122877186938644,0.10493944989130788,0.18771877187718772,-0.0025679874642262394,0.004544803441677561,-0.012202540364157497,0.0070665654357050176,0.5798848595227915,0.6172617261726172,late_post_2023_2025,exposure_exp_hybrid,preferred_demographic
poverty_gap_sq,126868,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.006322880107269102,0.0038071296685115085,-0.0017478742518309042,0.014393634466369109,0.11622026819255682,0.20572057205720573,-0.001719179371523,0.0037264401418732264,-0.009618879575510856,0.006180520832464857,0.650759954311855,0.6853685368536854,late_post_2023_2025,exposure_exp_hybrid,preferred_demographic
poverty,118485,15,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.0056729039114246475,0.012096421227980079,-0.02027133930979336,0.03161714713264266,0.6463078183657995,0.6827682768276828,-0.0009283398474860084,0.007573502493704125,-0.017171887176894905,0.015315207481922888,0.904184017465087,0.9122912291229123,late_post_2023_2025,exposure_cov_sim,preferred_demographic
matdep,118485,15,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,-0.0007119576969191277,0.0063059128367355865,-0.01423679560431961,0.012812880210481355,0.911710271821236,0.8845884588458846,0.004914479567470317,0.007820467933482227,-0.01185875594955042,0.021687715084491053,0.539851115040135,0.6005600560056006,late_post_2023_2025,exposure_cov_sim,preferred_demographic
poverty_gap,118485,15,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.00498337728567423,0.006400407081942617,-0.008744130620931132,0.01871088519227959,0.4491739424297707,0.5228522852285229,0.0006287855031225695,0.004901949325356954,-0.009884850154750685,0.011142421160995824,0.8997577122958007,0.9183918391839184,late_post_2023_2025,exposure_cov_sim,preferred_demographic
poverty_gap_sq,118485,15,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.004892881218751547,0.00441477864751356,-0.0045758772545393045,0.014361639692042398,0.2864114201830805,0.3621362136213621,0.0015181397313874141,0.0038557712173849417,-0.006751667047316433,0.009787946510091261,0.6997104705001487,0.7215721572157215,late_post_2023_2025,exposure_cov_sim,preferred_demographic
poverty,118485,15,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,-0.005116912601793918,0.009248341620092323,-0.024952632593884107,0.014718807390296271,0.5887994775105971,0.5975597559755975,0.005724167673194832,0.009450092220412097,-0.014544264320740633,0.025992599667130297,0.5543904275473728,0.5812581258125813,late_post_2023_2025,exposure_exp_sim,preferred_demographic
matdep,118485,15,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,-0.0009537495016394504,0.005249542119120341,-0.012212897556392576,0.010305398553113675,0.8584362078295027,0.8677867786778678,0.0038503190402381037,0.006995062078708537,-0.011152596987334607,0.018853235067810815,0.5906970105563882,0.6823682368236824,late_post_2023_2025,exposure_exp_sim,preferred_demographic
poverty_gap,118485,15,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,-0.00431989294725383,0.005378070959748966,-0.01585470794840074,0.00721492205389308,0.43526075622855087,0.44324432443244327,0.0017471062582252723,0.0048188457438776994,-0.008588289944372985,0.01208250246082353,0.7223506476709793,0.7328732873287329,late_post_2023_2025,exposure_exp_sim,preferred_demographic
