outcome,n_obs,n_clusters,controls,coef_medium,se_medium,ci_low_medium,ci_high_medium,pval_cluster_medium,pval_wbt_medium,coef_high,se_high,ci_low_high,ci_high_high,pval_cluster_high,pval_wbt_high,label,exposure_spec,control_spec
poverty,127423,17,,0.0033851748821942616,0.012637124407080903,-0.0234043321152948,0.03017468187968332,0.7922178882045661,0.8086808680868087,-0.008550246874390956,0.011494580547199021,-0.032917669088723706,0.015817175339941796,0.46775109230359924,0.4892489248924892,late_post_2023_2025,exposure_cov_hybrid,unadjusted
matdep,127423,17,,0.009272139652087405,0.005277336044662554,-0.0019153129947640773,0.020459592298938886,0.09803840032069933,0.1326132613261326,0.006462060031085549,0.006645932982057904,-0.007626688515848318,0.020550808578019414,0.34535622528402965,0.38823882388238823,late_post_2023_2025,exposure_cov_hybrid,unadjusted
poverty_gap,127423,17,,0.002357439438703594,0.006688065177067243,-0.011820625371698392,0.01653550424910558,0.7290751949403931,0.7653765376537653,-0.0023920292323307,0.0059652086185630875,-0.015037706593782889,0.010253648129121488,0.6937267684922195,0.7220722072207221,late_post_2023_2025,exposure_cov_hybrid,unadjusted
poverty_gap_sq,127423,17,,0.0028464469172236615,0.004613094594712614,-0.006932876759916534,0.012625770594363858,0.5458920139634926,0.6235623562356236,9.647862177084878e-05,0.004398320158544692,-0.009227543589999712,0.00942050083354141,0.9827707704646691,0.985998599859986,late_post_2023_2025,exposure_cov_hybrid,unadjusted
poverty,127423,17,,0.029375950220717307,0.011389394037575957,0.005231513445541076,0.05352038699589354,0.020173095604297808,0.0966096609660966,0.00718495121950637,0.00808174805753272,-0.009947589314628323,0.024317491753641063,0.387155926489011,0.48714871487148714,late_post_2023_2025,exposure_exp_hybrid,unadjusted
matdep,127423,17,,0.001943112641730923,0.0034560482257199538,-0.005383382306337022,0.009269607589798869,0.5817476759338311,0.6163616361636164,0.010135365867692153,0.005961163805127605,-0.002501736872323794,0.0227724686077081,0.10843977452012554,0.20332033203320332,late_post_2023_2025,exposure_exp_hybrid,unadjusted
poverty_gap,127423,17,,0.011729247528714218,0.005752249384301639,-0.00046497642350902535,0.02392347148093746,0.05831658440287857,0.1488148814881488,0.00017201172707525527,0.004484758159573537,-0.009335250861130446,0.009679274315280957,0.9698793378799022,0.972997299729973,late_post_2023_2025,exposure_exp_hybrid,unadjusted
poverty_gap_sq,127423,17,,0.007524925788164818,0.0038755278473015867,-0.0006908262326093574,0.015740677808938994,0.07000028950483461,0.15781578157815782,3.314603446773381e-05,0.0037501728866296104,-0.007916865340894247,0.007983157409829715,0.9930572282478207,0.9951995199519952,late_post_2023_2025,exposure_exp_hybrid,unadjusted
poverty,126868,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,-0.00028774634936804585,0.012114835139077781,-0.0259700495598909,0.025394556861154806,0.9813444723100537,0.97999799979998,-0.009774236467531283,0.010651178083501614,-0.032353725329695646,0.012805252394633076,0.37241957632458234,0.37593759375937597,late_post_2023_2025,exposure_cov_hybrid,preferred_demographic
matdep,126868,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.00779451592100112,0.005554541045836763,-0.003980585076810203,0.019569616918812444,0.17964539731720564,0.23542354235423543,0.006237365813345299,0.006144695630383294,-0.006788807015605932,0.019263538642296532,0.3251720752050944,0.3645364536453645,late_post_2023_2025,exposure_cov_hybrid,preferred_demographic
poverty_gap,126868,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.0004455350749279791,0.0066867773901261975,-0.013729799749113418,0.014620869898969376,0.94770232819572,0.9593959395939594,-0.002724150531112811,0.00578533413755528,-0.014988511027081876,0.009540209964856253,0.6440879610343533,0.6637663766376638,late_post_2023_2025,exposure_cov_hybrid,preferred_demographic
poverty_gap_sq,126868,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.0014496378808368023,0.004590742669682832,-0.008282301831984962,0.011181577593658568,0.756255630061208,0.7941794179417941,-0.00010247385139852173,0.0042273950049875365,-0.009064150924373062,0.00885920322157602,0.9809605828539445,0.9805980598059806,late_post_2023_2025,exposure_cov_hybrid,preferred_demographic
poverty,126868,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.02526094535632319,0.010745334733616548,0.0024818533126232598,0.04804003740002312,0.0318804581305312,0.11921192119211921,0.0009791328424277677,0.008401263008176124,-0.016830749128756296,0.01878901481361183,0.9086702434334741,0.9191919191919192,late_post_2023_2025,exposure_exp_hybrid,preferred_demographic
matdep,126868,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,2.9510079426727826e-05,0.003432260801657729,-0.007246557782316883,0.007305577941170339,0.9932462804817357,0.9915991599159916,0.007245854412613557,0.005725105845121164,-0.004890827807061378,0.01938253663228849,0.22376643723404288,0.3053305330533053,late_post_2023_2025,exposure_exp_hybrid,preferred_demographic
poverty_gap,126868,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.00990555981011627,0.005763143012431103,-0.0023117576021063693,0.02212287722233891,0.10493945081799394,0.18771877187718772,-0.0025679874642262337,0.004544803441163491,-0.012202540363067713,0.007066565434615244,0.579884859480349,0.6172617261726172,late_post_2023_2025,exposure_exp_hybrid,preferred_demographic
poverty_gap_sq,126868,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.006322880107269081,0.0038071296863371926,-0.0017478742896196867,0.01439363450415785,0.11622026977310851,0.20572057205720573,-0.0017191793715229935,0.0037264401440578443,-0.009618879580142034,0.006180520837096046,0.6507599545017384,0.6853685368536854,late_post_2023_2025,exposure_exp_hybrid,preferred_demographic
