outcome,exposure_spec,coef,se,ci_low,ci_high,pval_cluster,pval_wbt,n_obs,n_clusters,r2_within,label,controls,control_spec,scale
poverty,exposure_cov_hybrid,-0.002562811765636124,0.0019246534545907042,-0.006642894823187452,0.0015172712919152044,0.20166206745595594,0.19771977197719773,171152,17,,continuous_2021_2025,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,standardised_separate
poverty,exposure_exp_hybrid,0.0020055205311170173,0.0026343318405169566,-0.0035790134975021595,0.007590054559736194,0.4575518604075297,0.45934593459345935,171152,17,,continuous_2021_2025,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,standardised_separate
poverty,exposure_cov_sim,-0.00012526445607782623,0.0019530603376196123,-0.004314162268904622,0.004063633356748969,0.9497675160764514,0.9470947094709471,159769,15,,continuous_2021_2025,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,standardised_separate
poverty,exposure_exp_sim,0.0009517827251161,0.002505677248494733,-0.0044223604816739145,0.006325925931906114,0.7097565383916731,0.7107710771077108,159769,15,,continuous_2021_2025,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,standardised_separate
poverty,exposure_cov_admin,-0.008839866213728323,0.0037217573617989424,-0.01672963936742162,-0.0009500930600350298,0.030381126773462164,0.0675067506750675,171152,17,,continuous_2021_2025,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,standardised_separate
poverty,exposure_exp_admin,-0.0001349939677001871,0.002414204838239975,-0.005252879597690702,0.004982891662290327,0.956100612447633,0.9573957395739574,171152,17,,continuous_2021_2025,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,standardised_separate
matdep,exposure_cov_hybrid,0.002632404096776579,0.002768275979147941,-0.0032360788211260477,0.008500887014679206,0.3557904187524319,0.6832683268326832,171152,17,,continuous_2021_2025,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,standardised_separate
matdep,exposure_exp_hybrid,0.0011592535203985537,0.0030138798279950385,-0.005229886298184171,0.007548393338981279,0.7055699011776984,0.7667766776677668,171152,17,,continuous_2021_2025,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,standardised_separate
matdep,exposure_cov_sim,0.0017391349395334166,0.002843354312586432,-0.004359253539135641,0.007837523418202475,0.5505740778620727,0.6846684668466847,159769,15,,continuous_2021_2025,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,standardised_separate
matdep,exposure_exp_sim,0.000157544359669372,0.0028393955766102368,-0.00593235347477696,0.006247442194115705,0.9565360061918557,0.9646964696469646,159769,15,,continuous_2021_2025,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,standardised_separate
matdep,exposure_cov_admin,0.005300374466997066,0.0025201371083063335,-4.2077543665659106e-05,0.010642826477659791,0.05162315277352336,0.1336133613361336,171152,17,,continuous_2021_2025,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,standardised_separate
matdep,exposure_exp_admin,0.004332107025188943,0.0014853929784418478,0.0011832145787640269,0.007480999471613859,0.010089937109924785,0.0316031603160316,171152,17,,continuous_2021_2025,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,standardised_separate
poverty_gap,exposure_cov_hybrid,-6.461006599920731e-05,0.0010751568698576927,-0.002343840811904667,0.002214620679906252,0.9528252811584621,0.9475947594759476,171152,17,,continuous_2021_2025,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,standardised_separate
poverty_gap,exposure_exp_hybrid,-0.00027816617258258044,0.0011858768473445571,-0.0027921127854921017,0.002235780440326941,0.8175211096695771,0.8213821382138213,171152,17,,continuous_2021_2025,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,standardised_separate
