outcome,exposure_spec,coef,se,ci_low,ci_high,pval_cluster,pval_wbt,n_obs,n_clusters,r2_within,label,controls,control_spec,scale
poverty,exposure_cov_hybrid,-0.002203799466496152,0.0020856819072686585,-0.0066252475942048744,0.002217648661212571,0.30637306067544223,0.2074207420742074,150621,17,,continuous_covid_robust_2022_2025,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,standardised_separate
poverty,exposure_exp_hybrid,0.001349834673880841,0.0028569814176525785,-0.004706695373177513,0.007406364720939195,0.6429723700594898,0.6464646464646465,150621,17,,continuous_covid_robust_2022_2025,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,standardised_separate
poverty,exposure_cov_sim,0.0004060219043407165,0.001908963809232495,-0.0036882982614180014,0.004500342070099434,0.8346327573717609,0.8168816881688169,140642,15,,continuous_covid_robust_2022_2025,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,standardised_separate
poverty,exposure_exp_sim,0.00034084885576012583,0.0026648165175168445,-0.005374614136753484,0.006056311848273735,0.9000416602115444,0.8916891689168917,140642,15,,continuous_covid_robust_2022_2025,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,standardised_separate
poverty,exposure_cov_admin,-0.009059476053403525,0.0045928405703224125,-0.018795863116908375,0.0006769110101013266,0.06608765327583854,0.06780678067806781,150621,17,,continuous_covid_robust_2022_2025,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,standardised_separate
poverty,exposure_exp_admin,-0.000580807185722896,0.002644405866040553,-0.006186697194434035,0.005025082822988243,0.8289321147132118,0.8351835183518351,150621,17,,continuous_covid_robust_2022_2025,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,standardised_separate
matdep,exposure_cov_hybrid,0.0024173982512193113,0.0030941637714168822,-0.00414193592446576,0.008976732426904383,0.44604679392057145,0.724972497249725,150621,17,,continuous_covid_robust_2022_2025,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,standardised_separate
matdep,exposure_exp_hybrid,0.001262864756263666,0.0032063706047679792,-0.005534337280051232,0.008060066792578563,0.6988829206935843,0.763976397639764,150621,17,,continuous_covid_robust_2022_2025,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,standardised_separate
matdep,exposure_cov_sim,0.0014017409620384095,0.0030577182044113347,-0.0051564123381869515,0.00795989426226377,0.6536810450626303,0.7214721472147215,140642,15,,continuous_covid_robust_2022_2025,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,standardised_separate
matdep,exposure_exp_sim,0.0006014809493998688,0.002983946754518648,-0.005798448327147262,0.007001410225947,0.8431505696744468,0.8872887288728872,140642,15,,continuous_covid_robust_2022_2025,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,standardised_separate
matdep,exposure_cov_admin,0.005470316156719111,0.002699646198444944,-0.00025267812538684077,0.011193310438825063,0.05973933265301956,0.15951595159515952,150621,17,,continuous_covid_robust_2022_2025,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,standardised_separate
matdep,exposure_exp_admin,0.004631342318718207,0.0013883113973115382,0.001688253630588213,0.007574431006848202,0.004189540431744465,0.015501550155015502,150621,17,,continuous_covid_robust_2022_2025,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,standardised_separate
poverty_gap,exposure_cov_hybrid,7.836942629962384e-05,0.0011332378253438309,-0.002323987444924734,0.002480726297523981,0.9457229082566945,0.9370937093709371,150621,17,,continuous_covid_robust_2022_2025,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,standardised_separate
