outcome,exposure_spec,coef,se,ci_low,ci_high,pval_cluster,pval_wbt,n_obs,n_clusters,r2_within,label
poverty,exposure_cov_hybrid,0.00025869699830438674,0.0022542535272634073,-0.004520106999929515,0.005037500996538288,0.9100635798699719,0.9060906090609061,151307,17,,continuous_covid_robust_2022_2025
poverty,exposure_exp_hybrid,0.0030027841313450096,0.0022861177958527126,-0.0018435690987271699,0.007849137361417189,0.2075436021770083,0.18261826182618263,151307,17,,continuous_covid_robust_2022_2025
poverty,exposure_cov_sim,0.0019882448211859653,0.0028440228814360902,-0.004111577595051796,0.008088067237423726,0.4959433044096251,0.5059505950595059,141291,15,,continuous_covid_robust_2022_2025
poverty,exposure_exp_sim,0.002279753443398573,0.002188980922921759,-0.0024151437001900446,0.00697465058698719,0.3153105255025541,0.3122312231223122,141291,15,,continuous_covid_robust_2022_2025
poverty,exposure_cov_admin,-0.004965985854451858,0.004357169454641951,-0.014202772470952314,0.004270800762048597,0.2711753318487178,0.43314331433143316,151307,17,,continuous_covid_robust_2022_2025
poverty,exposure_exp_admin,0.0012196260392313908,0.0018703367758356126,-0.0027453108031909204,0.005184562881653702,0.523601823105444,0.5124512451245125,151307,17,,continuous_covid_robust_2022_2025
matdep,exposure_cov_hybrid,0.0037907829711277975,0.003171583793244036,-0.0029326743190944823,0.010514240261350078,0.24941167460149827,0.6393639363936393,151307,17,,continuous_covid_robust_2022_2025
matdep,exposure_exp_hybrid,0.0012859600070668775,0.0037960886383152075,-0.006761388413611128,0.009333308427744883,0.7391961025977394,0.7427742774277428,151307,17,,continuous_covid_robust_2022_2025
matdep,exposure_cov_sim,0.002524757636218318,0.00338724169800592,-0.004740153266424877,0.009789668538861514,0.4683765316540365,0.6905690569056906,141291,15,,continuous_covid_robust_2022_2025
matdep,exposure_exp_sim,0.0006027988005886523,0.0036860433990245594,-0.007302978012726516,0.008508575613903821,0.8724341644509206,0.8618861886188619,141291,15,,continuous_covid_robust_2022_2025
matdep,exposure_cov_admin,0.007099076785193774,0.0029655393354105124,0.0008124142330079515,0.013385739337379597,0.029274894732984835,0.14391439143914392,151307,17,,continuous_covid_robust_2022_2025
matdep,exposure_exp_admin,0.004829538470921683,0.0020717798599218136,0.00043756136705356153,0.009221515574789806,0.03315063960417142,0.04750475047504751,151307,17,,continuous_covid_robust_2022_2025
poverty_gap,exposure_cov_hybrid,0.0011980488230221885,0.001313485987502544,-0.001586417082337317,0.003982514728381694,0.3752475287950585,0.47114711471147114,151307,17,,continuous_covid_robust_2022_2025
poverty_gap,exposure_exp_hybrid,0.00010604344432131286,0.0015109911329350305,-0.0030971146654639853,0.003309201554106611,0.9449189909248457,0.9421942194219421,151307,17,,continuous_covid_robust_2022_2025
poverty_gap,exposure_cov_sim,0.0017686255392727742,0.0017002982618940716,-0.0018781515383274102,0.005415402616872959,0.3158852659764908,0.38283828382838286,141291,15,,continuous_covid_robust_2022_2025
poverty_gap,exposure_exp_sim,0.0007616706155084612,0.0014543760516332578,-0.0023576557792610066,0.0038809970102779293,0.6086717211828117,0.5807580758075808,141291,15,,continuous_covid_robust_2022_2025
poverty_gap,exposure_cov_admin,-0.0013144481145248822,0.003109507977545669,-0.007906310554094713,0.005277414325044948,0.6781267078987789,0.6947694769476948,151307,17,,continuous_covid_robust_2022_2025
poverty_gap,exposure_exp_admin,2.705973171029413e-06,0.0011462854288346166,-0.0024273105818355825,0.0024327225281776414,0.9981456620197047,0.9975997599759976,151307,17,,continuous_covid_robust_2022_2025
poverty_gap_sq,exposure_cov_hybrid,0.001429366481437889,0.0012138768614663037,-0.0011439375097865932,0.004002670472662371,0.2562065567487477,0.45934593459345935,151307,17,,continuous_covid_robust_2022_2025
poverty_gap_sq,exposure_exp_hybrid,-0.00023522595502665174,0.001420362718073305,-0.0032462604078865556,0.002775808497833252,0.8705385470394955,0.8706870687068707,151307,17,,continuous_covid_robust_2022_2025
poverty_gap_sq,exposure_cov_sim,0.0015664406290974754,0.0015168767696160637,-0.0016869364735868197,0.00481981773178177,0.31926644163369944,0.4215421542154215,141291,15,,continuous_covid_robust_2022_2025
poverty_gap_sq,exposure_exp_sim,0.0005348623467993509,0.0012815630792022072,-0.0022138170852004932,0.0032835417787991953,0.6827507994315256,0.6866686668666867,141291,15,,continuous_covid_robust_2022_2025
poverty_gap_sq,exposure_cov_admin,0.00012209966606767698,0.0023963972658574695,-0.004958035596862898,0.0052022349289982525,0.9599949642395065,0.9420942094209421,151307,17,,continuous_covid_robust_2022_2025
poverty_gap_sq,exposure_exp_admin,0.00015617731051939266,0.0009450769931569465,-0.0018472964154461076,0.002159651036484893,0.8708143513661553,0.8614861486148615,151307,17,,continuous_covid_robust_2022_2025
