variable,year,n_total,n_missing,missing_pct
head_age,2017,13516,0,0.0
head_age,2018,13125,1,0.007619047619047619
head_age,2019,15608,0,0.0
head_age,2021,20636,1,0.004845900368288428
head_age,2022,23940,0,0.0
head_age,2023,26831,0,0.0
head_age,2024,29370,0,0.0
head_age,2025,28973,0,0.0
head_age_group,2017,13516,0,0.0
head_age_group,2018,13125,1,0.007619047619047619
head_age_group,2019,15608,0,0.0
head_age_group,2021,20636,1,0.004845900368288428
head_age_group,2022,23940,0,0.0
head_age_group,2023,26831,0,0.0
head_age_group,2024,29370,0,0.0
head_age_group,2025,28973,0,0.0
head_sex,2017,13516,0,0.0
head_sex,2018,13125,1,0.007619047619047619
head_sex,2019,15608,0,0.0
head_sex,2021,20636,1,0.004845900368288428
head_sex,2022,23940,0,0.0
head_sex,2023,26831,0,0.0
head_sex,2024,29370,0,0.0
head_sex,2025,28973,0,0.0
head_education_group,2017,13516,30,0.2219591595146493
head_education_group,2018,13125,30,0.22857142857142856
head_education_group,2019,15608,29,0.1858021527421835
head_education_group,2021,20636,105,0.508819538670285
head_education_group,2022,23940,185,0.772765246449457
head_education_group,2023,26831,95,0.3540680556073199
head_education_group,2024,29370,110,0.37453183520599254
head_education_group,2025,28973,260,0.8973872225865461
head_education_isced,2017,13516,24,0.17756732761171945
head_education_isced,2018,13125,29,0.22095238095238096
head_education_isced,2019,15608,26,0.16658124038954383
head_education_isced,2021,20636,49,0.23744911804613297
head_education_isced,2022,23940,155,0.647451963241437
head_education_isced,2023,26831,59,0.21989489769296708
head_education_isced,2024,29370,70,0.23833844058563158
head_education_isced,2025,28973,175,0.6040106305870984
head_high_education,2017,13516,0,0.0
head_high_education,2018,13125,1,0.007619047619047619
head_high_education,2019,15608,0,0.0
head_high_education,2021,20636,1,0.004845900368288428
head_high_education,2022,23940,0,0.0
head_high_education,2023,26831,0,0.0
head_high_education,2024,29370,0,0.0
head_high_education,2025,28973,0,0.0
n_adults,2017,13516,0,0.0
n_adults,2018,13125,0,0.0
n_adults,2019,15608,0,0.0
n_adults,2021,20636,0,0.0
n_adults,2022,23940,0,0.0
n_adults,2023,26831,0,0.0
n_adults,2024,29370,0,0.0
n_adults,2025,28973,0,0.0
n_children,2017,13516,0,0.0
n_children,2018,13125,0,0.0
n_children,2019,15608,0,0.0
n_children,2021,20636,0,0.0
n_children,2022,23940,0,0.0
n_children,2023,26831,0,0.0
n_children,2024,29370,0,0.0
n_children,2025,28973,0,0.0
hh_size,2017,13516,0,0.0
hh_size,2018,13125,0,0.0
hh_size,2019,15608,0,0.0
hh_size,2021,20636,0,0.0
hh_size,2022,23940,0,0.0
hh_size,2023,26831,0,0.0
hh_size,2024,29370,0,0.0
hh_size,2025,28973,0,0.0
single_parent_hh,2017,13516,0,0.0
single_parent_hh,2018,13125,0,0.0
single_parent_hh,2019,15608,0,0.0
single_parent_hh,2021,20636,0,0.0
single_parent_hh,2022,23940,0,0.0
single_parent_hh,2023,26831,0,0.0
single_parent_hh,2024,29370,0,0.0
single_parent_hh,2025,28973,0,0.0
head_non_eu_born,2017,13516,13516,100.0
head_non_eu_born,2018,13125,13125,100.0
head_non_eu_born,2019,15608,15608,100.0
head_non_eu_born,2021,20636,15,0.07268850552432642
head_non_eu_born,2022,23940,3,0.012531328320802004
head_non_eu_born,2023,26831,4,0.014908128657150311
head_non_eu_born,2024,29370,1,0.0034048348655090228
head_non_eu_born,2025,28973,0,0.0
homeowner,2017,13516,0,0.0
homeowner,2018,13125,0,0.0
homeowner,2019,15608,0,0.0
homeowner,2021,20636,0,0.0
homeowner,2022,23940,0,0.0
homeowner,2023,26831,0,0.0
homeowner,2024,29370,0,0.0
homeowner,2025,28973,0,0.0
head_labour_group,2017,13516,1,0.00739863865048831
head_labour_group,2018,13125,3,0.022857142857142857
head_labour_group,2019,15608,3,0.01922091235263967
head_labour_group,2021,20636,10,0.04845900368288428
head_labour_group,2022,23940,16,0.06683375104427736
head_labour_group,2023,26831,3,0.011181096492862733
head_labour_group,2024,29370,10,0.03404834865509023
head_labour_group,2025,28973,20,0.06902978635281123
head_unemployed,2017,13516,0,0.0
head_unemployed,2018,13125,1,0.007619047619047619
head_unemployed,2019,15608,0,0.0
head_unemployed,2021,20636,1,0.004845900368288428
head_unemployed,2022,23940,0,0.0
head_unemployed,2023,26831,0,0.0
head_unemployed,2024,29370,0,0.0
head_unemployed,2025,28973,0,0.0
head_employed,2017,13516,0,0.0
head_employed,2018,13125,1,0.007619047619047619
head_employed,2019,15608,0,0.0
head_employed,2021,20636,1,0.004845900368288428
head_employed,2022,23940,0,0.0
head_employed,2023,26831,0,0.0
head_employed,2024,29370,0,0.0
head_employed,2025,28973,0,0.0
