variable,value,is_missing
head_age,9.0,False
head_age,16.0,False
head_age,17.0,False
head_age,18.0,False
head_age,19.0,False
head_age,20.0,False
head_age,21.0,False
head_age,22.0,False
head_age,23.0,False
head_age,24.0,False
head_age,25.0,False
head_age,26.0,False
head_age,27.0,False
head_age,28.0,False
head_age,29.0,False
head_age,30.0,False
head_age,31.0,False
head_age,32.0,False
head_age,33.0,False
head_age,34.0,False
head_age,35.0,False
head_age,36.0,False
head_age,37.0,False
head_age,38.0,False
head_age,39.0,False
head_age,40.0,False
head_age,41.0,False
head_age,42.0,False
head_age,43.0,False
head_age,44.0,False
head_age,45.0,False
head_age,46.0,False
head_age,47.0,False
head_age,48.0,False
head_age,49.0,False
head_age,50.0,False
head_age,51.0,False
head_age,52.0,False
head_age,53.0,False
head_age,54.0,False
head_age,55.0,False
head_age,56.0,False
head_age,57.0,False
head_age,58.0,False
head_age,59.0,False
head_age,60.0,False
head_age,61.0,False
head_age,62.0,False
head_age,63.0,False
head_age,64.0,False
head_age,65.0,False
head_age,66.0,False
head_age,67.0,False
head_age,68.0,False
head_age,69.0,False
head_age,70.0,False
head_age,71.0,False
head_age,72.0,False
head_age,73.0,False
head_age,74.0,False
head_age,75.0,False
head_age,76.0,False
head_age,77.0,False
head_age,78.0,False
head_age,79.0,False
head_age,80.0,False
head_age,81.0,False
head_age,82.0,False
head_age,83.0,False
head_age,84.0,False
head_age,85.0,False
head_age,86.0,False
head_age,87.0,False
head_age,88.0,False
head_age,89.0,False
head_age,90.0,False
head_age,91.0,False
head_age,92.0,False
head_age,93.0,False
head_age,94.0,False
head_age,95.0,False
head_age,96.0,False
head_age,97.0,False
head_age,98.0,False
head_age,99.0,False
head_age,100.0,False
head_age,102.0,False
head_age,103.0,False
head_age,104.0,False
head_age,106.0,False
head_age,110.0,False
head_age,<MISSING>,True
head_age_group,35_54,False
head_age_group,55_64,False
head_age_group,65plus,False
head_age_group,under35,False
head_age_group,<MISSING>,True
head_sex,female,False
head_sex,male,False
head_sex,<MISSING>,True
head_education_group,high,False
head_education_group,low,False
head_education_group,medium,False
head_education_group,<MISSING>,True
head_education_isced,0.0,False
head_education_isced,100.0,False
head_education_isced,200.0,False
head_education_isced,300.0,False
head_education_isced,340.0,False
head_education_isced,344.0,False
head_education_isced,350.0,False
head_education_isced,353.0,False
head_education_isced,354.0,False
head_education_isced,400.0,False
head_education_isced,450.0,False
head_education_isced,500.0,False
head_education_isced,<MISSING>,True
head_high_education,0.0,False
head_high_education,1.0,False
head_high_education,<MISSING>,True
n_adults,0.0,False
n_adults,1.0,False
n_adults,2.0,False
n_adults,3.0,False
n_adults,4.0,False
n_adults,5.0,False
n_adults,6.0,False
n_adults,7.0,False
n_adults,8.0,False
n_adults,9.0,False
n_children,0.0,False
n_children,1.0,False
n_children,2.0,False
n_children,3.0,False
n_children,4.0,False
n_children,5.0,False
n_children,6.0,False
n_children,7.0,False
n_children,8.0,False
n_children,9.0,False
hh_size,1.0,False
hh_size,2.0,False
hh_size,3.0,False
hh_size,4.0,False
hh_size,5.0,False
hh_size,6.0,False
hh_size,7.0,False
hh_size,8.0,False
hh_size,9.0,False
hh_size,10.0,False
hh_size,11.0,False
hh_size,12.0,False
hh_size,13.0,False
hh_size,14.0,False
single_parent_hh,0.0,False
single_parent_hh,1.0,False
head_non_eu_born,0.0,False
head_non_eu_born,1.0,False
head_non_eu_born,<MISSING>,True
homeowner,0.0,False
homeowner,1.0,False
head_labour_group,employed,False
head_labour_group,inactive,False
head_labour_group,unemployed,False
head_labour_group,<MISSING>,True
head_unemployed,0.0,False
head_unemployed,1.0,False
head_unemployed,<MISSING>,True
head_employed,0.0,False
head_employed,1.0,False
head_employed,<MISSING>,True
