variable,dtype,classification,n_total,n_nonmissing,n_missing,missing_pct,n_unique_nonmissing,min,max,unweighted_mean,weighted_mean,weight_column
head_age,float64,count_or_continuous,171999,171997,2,0.0011627974581247566,91,9.0,110.0,57.85529980174073,,none
head_age_group,str,categorical,171999,171997,2,0.0011627974581247566,4,,,,,none
head_sex,str,binary,171999,171997,2,0.0011627974581247566,2,,,,,none
head_education_group,str,categorical,171999,171155,844,0.4907005273286473,3,,,,,none
head_education_isced,float64,count_or_continuous,171999,171412,587,0.34128105395961605,12,0.0,500.0,300.6463141437006,,none
head_high_education,float64,binary,171999,171997,2,0.0011627974581247566,2,0.0,1.0,0.3379070565184277,,none
n_adults,float64,count_or_continuous,171999,171999,0,0.0,10,0.0,9.0,2.034692062163152,,none
n_children,float64,count_or_continuous,171999,171999,0,0.0,10,0.0,9.0,0.4295722649550288,,none
hh_size,float64,count_or_continuous,171999,171999,0,0.0,14,1.0,14.0,2.464264327118181,,none
single_parent_hh,float64,binary,171999,171999,0,0.0,2,0.0,1.0,0.029523427461787568,,none
head_non_eu_born,float64,binary,171999,129727,42272,24.576887074924855,2,0.0,1.0,0.08191818202841351,,none
homeowner,float64,binary,171999,171999,0,0.0,2,0.0,1.0,0.7878243478159757,,none
head_labour_group,str,categorical,171999,171933,66,0.038372316118116964,3,,,,,none
head_unemployed,float64,binary,171999,171997,2,0.0011627974581247566,2,0.0,1.0,0.022907376291446943,,none
head_employed,float64,binary,171999,171997,2,0.0011627974581247566,2,0.0,1.0,0.8091478339738484,,none
