variable,value,unweighted_n,weighted_n,unweighted_pct,weighted_pct
head_age,100.0,1,1.0,0.0005813987290623783,0.0005813987290623783
head_age,102.0,1,1.0,0.0005813987290623783,0.0005813987290623783
head_age,103.0,1,1.0,0.0005813987290623783,0.0005813987290623783
head_age,104.0,1,1.0,0.0005813987290623783,0.0005813987290623783
head_age,106.0,1,1.0,0.0005813987290623783,0.0005813987290623783
head_age,110.0,1,1.0,0.0005813987290623783,0.0005813987290623783
head_age,16.0,5,5.0,0.0029069936453118912,0.0029069936453118912
head_age,17.0,17,17.0,0.009883778394060431,0.009883778394060431
head_age,18.0,31,31.0,0.018023360600933725,0.018023360600933725
head_age,19.0,51,51.0,0.029651335182181292,0.029651335182181292
head_age,20.0,67,67.0,0.03895371484717934,0.03895371484717934
head_age,21.0,83,83.0,0.0482560945121774,0.0482560945121774
head_age,22.0,106,106.0,0.0616282652806121,0.0616282652806121
head_age,23.0,136,136.0,0.07907022715248345,0.07907022715248345
head_age,24.0,205,205.0,0.11918673945778754,0.11918673945778754
head_age,25.0,262,262.0,0.1523264670143431,0.1523264670143431
head_age,26.0,353,353.0,0.20523375135901953,0.20523375135901953
head_age,27.0,430,430.0,0.2500014534968227,0.2500014534968227
head_age,28.0,596,596.0,0.34651364252117745,0.34651364252117745
head_age,29.0,716,716.0,0.4162814900086628,0.4162814900086628
head_age,30.0,892,892.0,0.5186076663236414,0.5186076663236414
head_age,31.0,1036,1036.0,0.6023290833086239,0.6023290833086239
head_age,32.0,1193,1193.0,0.6936086837714173,0.6936086837714173
head_age,33.0,1400,1400.0,0.8139582206873296,0.8139582206873296
head_age,34.0,1519,1519.0,0.8831446694457525,0.8831446694457525
head_age,35.0,1714,1714.0,0.9965174216129163,0.9965174216129163
head_age,36.0,1934,1934.0,1.1244251420066396,1.1244251420066396
head_age,37.0,2128,2128.0,1.2372164954447409,1.2372164954447409
head_age,38.0,2328,2328.0,1.3534962412572167,1.3534962412572167
head_age,39.0,2599,2599.0,1.5110552968331212,1.5110552968331212
head_age,40.0,2728,2728.0,1.5860557328821678,1.5860557328821678
head_age,41.0,3019,3019.0,1.75524276303932,1.75524276303932
head_age,42.0,3196,3196.0,1.858150338083361,1.858150338083361
head_age,43.0,3367,3367.0,1.9575695207530277,1.9575695207530277
head_age,44.0,3557,3557.0,2.0680352792748793,2.0680352792748793
head_age,45.0,3812,3812.0,2.216291955185786,2.216291955185786
