variable,status,n_positive_input,median_ratio,mean_ratio,p01_ratio,p99_ratio,share_ratio_equal_1,year
yem,compared,149,1.0465682297582346,1.0448689617425935,1.0349491651169715,1.0466586639468036,0.0,2017
yse,compared,200,0.0,0.13604441542936216,-0.0,1.0465809590345316,0.0,2017
ypp,compared,8,0.8492236431500704,0.8492282817135296,0.8491958449665291,0.8492764288522092,0.0,2017
kfb,compared,20,1.0424600874065573,1.0424785724761083,1.0412147505422993,1.0434782608695654,0.0,2017
kfbcc,compared,4,1.0424738221714462,1.042473589351051,1.0424648057120995,1.042481935287659,0.0,2017
bun,compared,3673,0.0,0.0,0.0,0.0,0.0,2017
bhl,compared,531,0.0,0.0,0.0,0.0,0.0,2017
pdi,compared,970,0.0,0.0,0.0,0.0,0.0,2017
poa,compared,5595,0.0,0.0,0.0,0.0,0.0,2017
psu,compared,2238,0.0,0.0,0.0,0.0,0.0,2017
bed,compared,1,1.0705882352941176,1.0705882352941176,1.0705882352941176,1.0705882352941176,0.0,2017
tscer,compared,131,1.0,1.0000403008646301,0.9999250057865806,1.0012515644555695,0.0916030534351145,2017
xpp,compared,5,1.0838709677419356,1.0838780619291122,1.0838709677419356,1.0838938313693731,0.0,2017
yem,compared,150,1.0465690307717623,1.0459454826416539,1.0349893419996867,1.0466432126247591,0.0,2018
yse,compared,150,0.0,0.16745018571038736,0.0,1.0467489022878913,0.0,2018
ypp,compared,4,0.8492221958325057,0.8492219961951553,0.8492196377697876,0.849223979302304,0.0,2018
kfb,compared,26,1.0424665900923493,1.0427761363291337,1.0419681620839365,1.0434782608695654,0.0,2018
kfbcc,no positive input observations,0,,,,,,2018
bun,compared,3418,0.0,0.0,0.0,0.0,0.0,2018
bhl,compared,613,0.0,0.0,0.0,0.0,0.0,2018
pdi,compared,934,0.0,0.0,0.0,0.0,0.0,2018
poa,compared,5423,0.0,0.0,0.0,0.0,0.0,2018
psu,compared,2237,0.0,0.0,0.0,0.0,0.0,2018
bed,compared,1,1.0705435321328267,1.0705435321328267,1.0705435321328267,1.0705435321328267,0.0,2018
tscer,compared,131,1.0000010629262999,1.0000207864926256,0.9999444475306928,1.0009418990232637,0.04580152671755725,2018
xpp,compared,1,1.0839335377593953,1.0839335377593953,1.0839335377593953,1.0839335377593953,0.0,2018
yem,compared,162,1.0465682907660174,1.0452137068472493,1.0349926544467662,1.0467055715128295,0.0,2019
yse,compared,206,0.0,0.1524099753571414,0.0,1.0465749974482657,0.0,2019
ypp,compared,6,0.8492211500288467,0.8491279200292273,0.8486838675983369,0.849235616146239,0.0,2019
kfb,compared,28,1.0424710424710426,1.042626426201871,1.0414181716585413,1.0434782608695654,0.0,2019
kfbcc,compared,1,1.042449072493456,1.042449072493456,1.042449072493456,1.042449072493456,0.0,2019
bun,compared,4001,0.0,0.0,0.0,0.0,0.0,2019
bhl,compared,823,0.0,0.0,0.0,0.0,0.0,2019
pdi,compared,1151,0.0,0.0,0.0,0.0,0.0,2019
poa,compared,6438,0.0,0.0,0.0,0.0,0.0,2019
psu,compared,2453,0.0,0.0,0.0,0.0,0.0,2019
bed,no positive input observations,0,,,,,,2019
tscer,compared,154,1.0,1.0000368886676285,0.9999444475306928,1.0012515644555695,0.1038961038961039,2019
xpp,compared,1,1.0838709677419356,1.0838709677419356,1.0838709677419356,1.0838709677419356,0.0,2019
