drgn2,region,exposure_cov_hybrid,exposure_exp_hybrid,exposure_cov_sim,exposure_exp_sim,exposure_cov_admin,exposure_exp_admin,exposure_cov_hybrid_rank,exposure_exp_hybrid_rank,exposure_cov_sim_rank,exposure_exp_sim_rank,exposure_cov_admin_rank,exposure_exp_admin_rank,delta_benefit_hybrid,delta_cov_hybrid,delta_benefit_sim,delta_cov_sim,level_benefit_admin,level_cov_admin,delta_mean,poor_hh_sim,rmi_exp_sim,post_exp_sim,rmi_rec_sim,post_rec_sim,rmi_mean_sim,imv_mean_sim,rmi_avg_benefit_sim,post_avg_benefit_sim,rmi_coverage_sim,post_coverage_sim,avg_rmi_exp_admin,avg_titulares_admin,rmi_avg_benefit_admin,rmi_coverage_admin,pop
51,Cataluña,1.2335,-0.7614,2.7732,-0.994,-0.2967,-5.125,17.0,2.0,15.0,2.0,10.0,1.0,-976.1388,0.144641,-896.44,0.161083,-7956.5288,-0.074572,-74.7,389102.666667,175433872.0,594565552.666667,22405.333333,85141.0,656.4,581.703333,7876.83,6980.39,0.05813,0.219213,230869265.66,29016.33,7956.528811879379,0.07457242647178416,7427222.696667
52,Comunitat Valenciana,0.9005,1.5928,2.0441,0.9046,-0.1817,-2.5619,16.0,16.0,14.0,11.0,13.0,10.0,2042.0321,0.105589,815.8,0.118736,-3977.3579,-0.045686,67.99,466267.333333,72982599.333333,423760355.0,14778.0,70393.666667,433.63,501.616667,5203.59,6019.39,0.032539,0.151275,84725677.72,21302.0,3977.3578875222984,0.04568623722302777,4922250.963333
70,Canarias,0.581,1.4281,1.4945,0.1011,-0.1704,-2.4268,15.0,14.0,13.0,6.0,14.0,12.0,1830.7861,0.068126,91.1467,0.086808,-3767.6072,-0.042826,7.6,273118.333333,35487749.333333,167643780.666667,6503.0,30194.0,458.936667,466.533333,5507.246667,5598.393333,0.024144,0.110952,44068457.99,11696.67,3767.607189909607,0.042826381727142475,2160445.146667
61,Andalucía,0.4302,1.4838,1.031,1.4462,-0.0955,-2.2945,14.0,15.0,11.0,13.0,16.0,14.0,1902.2938,0.05045,1304.3233,0.059886,-3562.1428,-0.024004,108.69,965648.333333,56366830.666667,388366130.0,13934.333333,71815.0,346.676667,455.37,4160.113333,5464.436667,0.014568,0.074454,82568084.28,23179.33,3562.1428350172328,0.024003904112789166,8356391.543333
43,Extremadura,0.3878,-1.1128,0.7703,0.0577,-0.1946,-4.5811,13.0,1.0,7.0,5.0,12.0,2.0,-1426.6831,0.045476,52.0267,0.044741,-7112.1297,-0.048916,4.34,138256.333333,38607066.0,74361604.666667,6829.666667,13046.666667,469.45,473.786667,5633.42,5685.446667,0.049651,0.094392,48099333.33,6763.0,7112.129724974124,0.04891638478297298,1059240.056667
41,Castilla y León,0.3593,0.4317,0.9736,0.3618,-0.3978,-3.193,12.0,6.0,10.0,8.0,8.0,6.0,553.4951,0.042136,326.3067,0.056552,-4957.0383,-0.099988,27.19,143706.666667,63666480.0,110578185.333333,12270.666667,20174.333333,432.016667,459.21,5184.226667,5510.533333,0.085572,0.142124,71227682.69,14369.0,4957.038255271766,0.09998840230075155,2368908.013333
42,Castilla-La Mancha,0.3366,0.8907,0.8226,-0.0603,-0.0692,-2.0167,11.0,9.0,8.0,4.0,17.0,15.0,1141.8466,0.039469,-54.41,0.047781,-3130.9667,-0.017395,-4.53,207487.0,8212353.666667,50028129.0,1848.0,11794.666667,360.6,356.07,4327.223333,4272.813333,0.009083,0.056864,11300692.13,3609.33,3130.9667251262704,0.01739545128128509,2008241.123333
62,Región de Murcia,0.2591,1.2697,1.0826,-1.5269,-0.1673,-1.7951,10.0,12.0,12.0,1.0,15.0,16.0,1627.7399,0.030377,-1377.0967,0.062886,-2786.8735,-0.042066,-114.75,139716.333333,7902240.666667,45691775.666667,1377.0,10111.333333,482.64,367.886667,5791.71,4414.613333,0.009557,0.072443,16379375.0,5877.33,2786.87346124856,0.04206616262961874,1471147.496667
11,Galicia,0.163,1.354,0.8811,1.8041,-0.2448,-2.5505,9.0,13.0,9.0,14.0,11.0,11.0,1735.8313,0.019119,1627.1067,0.051178,-3959.692,-0.061542,135.59,229143.333333,27584048.666667,107279057.0,6739.666667,18468.666667,339.033333,474.626667,4068.416667,5695.523333,0.029483,0.080661,55839576.87,14102.0,3959.692020280811,0.061542266121731005,2682440.236667
13,Cantabria,-0.0383,-0.3534,0.4471,-0.3079,-0.5333,-3.1631,8.0,3.0,5.0,3.0,5.0,7.0,-453.0772,-0.004488,-277.7033,0.02597,-4910.6072,-0.134062,-23.14,46702.333333,22552755.666667,27334542.333333,4819.333333,6134.333333,394.603333,371.46,4735.233333,4457.53,0.103604,0.129574,30745311.9,6261.0,4910.607235265932,0.13406182417819282,575577.996667
24,Aragón,-0.1509,0.3008,,,-0.4995,-3.1296,7.0,5.0,,,7.0,9.0,385.657,-0.017694,,,-4858.703,-0.125557,,79010.666667,0.0,44463032.333333,0.0,8581.333333,,437.03,,5244.36,0.0,0.107863,48199937.1,9920.33,4858.702996775309,0.125556844644919,1294916.22
30,Comunidad de Madrid,-0.2623,0.6092,-0.2076,1.245,-0.3444,-3.16,6.0,8.0,2.0,12.0,9.0,8.0,781.0617,-0.03076,1122.83,-0.012059,-4905.8583,-0.086567,93.57,373992.0,116431961.0,117143948.666667,25520.666667,20885.666667,380.34,473.91,4564.09,5686.92,0.067866,0.055807,158828782.64,32375.33,4905.85833843238,0.08656690517444224,6479329.85
12,Principado de Asturias,-0.3955,0.4895,-0.0535,0.7286,-1.1246,-3.5314,5.0,7.0,4.0,10.0,3.0,5.0,627.4864,-0.046373,657.0967,-0.00311,-5482.4503,-0.282689,54.76,78379.333333,100391926.333333,110598576.666667,18437.333333,18146.666667,454.403333,509.16,5452.84,6109.936667,0.239426,0.236316,121474651.57,22157.0,5482.450312316649,0.28268931436128014,1017693.09
