year,drgn2,region,benefit_component,n_households,n_first_recipients,n_max_recipients,recipient_count_difference,weighted_first_recipients,weighted_max_recipients,weighted_recipient_difference,mean_first_monthly,mean_max_monthly,mean_monthly_difference,households_first_below_max,households_multiple_positive_rows,households_multiple_distinct_positive,weighted_recipient_pct_difference,material_difference
2018,63,Ciudad de Ceuta,bsarg_s,115,0,1,1,0.0,174.73,174.73,,49.43999999999999,,1,0,0,1.0,True
2017,23,La Rioja,bsa00_s,355,2,7,5,588.09,2695.8200000000006,2107.7300000000005,239.68185158734207,411.8549474371433,172.17309584980126,5,0,0,0.7818511621695811,True
2018,64,Ciudad de Melilla,bsa00_s,128,1,2,1,51.49,166.74,115.25,1386.3,477.72302386949735,-908.5769761305025,1,0,0,0.6911958738155212,True
2017,64,Ciudad de Melilla,bsa00_s,120,2,5,3,263.07,715.65,452.58,477.65076519557533,332.9073594634249,-144.74340573215045,3,0,0,0.632404108153427,True
2019,11,Galicia,bsarg_s,869,2,3,1,2109.99,5702.01,3592.0200000000004,530.5602775368603,520.9658605649587,-9.594416971901637,1,0,0,0.6299568047057091,True
2018,30,Comunidad de Madrid,bsa00_s,1220,9,18,9,15322.94,40863.48000000001,25540.540000000008,572.9266042352186,413.89033896280966,-159.03626527240897,9,0,0,0.6250211680454039,True
2017,21,País Vasco,bsa00_s,749,6,11,5,5815.47,15115.44,9299.970000000001,706.8719321912073,753.8772043618974,47.00527217069009,5,0,0,0.6152629364411489,True
2017,53,Illes Balears,bsa00_s,318,4,8,4,4373.63,10893.329999999998,6519.699999999998,270.25158776576893,222.72134309710623,-47.530244668662704,4,0,0,0.5985038551113387,True
2019,30,Comunidad de Madrid,bsa00_s,1361,10,23,13,18154.99,41021.850000000006,22866.860000000004,385.27013206286534,318.70992728265537,-66.56020478020997,13,0,0,0.5574312226289161,True
2017,13,Cantabria,bsa00_s,388,4,7,3,1892.66,4222.110000000001,2329.4500000000007,131.9441493982015,207.06714469779322,75.12299529959174,3,0,0,0.5517265064150391,True
