year,scenario,idhh,dwt,n_person_rows,combined_first,weighted_monthly_expenditure,expenditure_share,yds,bsa00_s_first,bsa00_s_maximum,bsa00_s_sum_all_rows,bsa00_s_sum_unique_positive,bsarg_s_first,bsarg_s_maximum,bsarg_s_sum_all_rows,bsarg_s_sum_unique_positive,bsa00_s_n_positive_rows,bsa00_s_n_unique_positive,bsarg_s_n_positive_rows,bsarg_s_n_unique_positive,imv_only_first,combined_maximum,imv_only_maximum,combined_sum_all_rows,imv_only_sum_all_rows,combined_sum_unique_positive,imv_only_sum_unique_positive
2017,combined_first,16578,3017.39,2,1130.0,3409650.6999999997,0.10518707090305696,1895.58,0.0,0.0,0.0,0.0,1130.0,1130.0,1130.0,1130.0,0,0,1,1,,,,,,,
2017,combined_first,15170,2373.85,1,880.0,2088988.0,0.06444487960940842,630.0,0.0,0.0,0.0,0.0,880.0,880.0,880.0,880.0,0,0,1,1,,,,,,,
2017,combined_first,9783,1698.6,2,1130.0,1919418.0,0.05921367759418987,1542.39,0.0,0.0,0.0,0.0,1130.0,1130.0,1130.0,1130.0,0,0,1,1,,,,,,,
2017,combined_first,8312,2030.35,1,880.0,1786708.0,0.05511959951764534,500.0,0.0,0.0,0.0,0.0,880.0,880.0,880.0,880.0,0,0,1,1,,,,,,,
2017,combined_first,18764,1303.27,4,1366.3400000000001,1780709.9318000001,0.05493456026273435,960.66,1164.39,1164.39,1164.39,1164.39,201.95,201.95,201.95,201.95,1,1,1,1,,,,,,,
2017,combined_first,11824,1295.38,2,1130.0,1463779.4000000001,0.045157314071565806,1981.12,0.0,0.0,0.0,0.0,1130.0,1130.0,1130.0,1130.0,0,0,1,1,,,,,,,
2017,combined_first,11560,1609.44,1,880.0,1416307.2,0.043692805795886976,896.28,0.0,0.0,0.0,0.0,880.0,880.0,880.0,880.0,0,0,1,1,,,,,,,
2017,combined_first,62,1060.63,2,1194.0,1266392.2200000002,0.039067957382326504,-2281.67,0.0,0.0,0.0,0.0,1194.0,1194.0,1194.0,1194.0,0,0,1,1,,,,,,,
2017,combined_first,8703,1728.97,1,730.0,1262148.1,0.03893702709337899,1231.35,0.0,0.0,0.0,0.0,730.0,730.0,730.0,730.0,0,0,1,1,,,,,,,
2017,combined_first,15113,968.37,2,1251.98,1212379.8726000001,0.03740168681226361,1356.57,816.42,816.42,816.42,816.42,435.56,435.56,435.56,435.56,1,1,1,1,,,,,,,
2017,combined_first,8239,1328.52,1,880.0,1169097.6,0.03606643699420405,1750.12,0.0,0.0,0.0,0.0,880.0,880.0,880.0,880.0,0,0,1,1,,,,,,,
2017,combined_first,15080,1344.83,1,864.51,1162618.9833,0.03586657291012745,1319.27,0.0,0.0,0.0,0.0,864.51,864.51,864.51,864.51,0,0,1,1,,,,,,,
2017,combined_first,11583,1311.78,1,880.0,1154366.4,0.03561198229628232,1317.34,0.0,0.0,0.0,0.0,880.0,880.0,880.0,880.0,0,0,1,1,,,,,,,
2017,combined_first,8325,921.03,2,1121.39,1032833.8317000001,0.0318627258464053,300.35,0.0,0.0,0.0,0.0,1121.39,1121.39,1121.39,1121.39,0,0,1,1,,,,,,,
2017,combined_first,4325,798.07,2,1278.07,1019989.3249,0.0314664752722669,1454.41,842.51,842.51,842.51,842.51,435.56,435.56,435.56,435.56,1,1,1,1,,,,,,,
2017,combined_first,8334,878.53,2,1055.54,927323.5562,0.0286077540599934,2339.13,574.21,574.21,574.21,574.21,481.33,481.33,481.33,481.33,1,1,1,1,,,,,,,
2017,combined_first,11620,742.16,2,1184.98,879444.7568,0.027130702270717434,1043.43,0.0,0.0,0.0,0.0,1184.98,1184.98,1184.98,1184.98,0,0,1,1,,,,,,,
2017,combined_first,8262,1274.41,1,618.88,788706.8608,0.024331455561913448,1179.48,237.86,237.86,237.86,237.86,381.02,381.02,381.02,381.02,1,1,1,1,,,,,,,
2017,combined_first,16591,1120.85,2,630.32,706494.172,0.02179520986204262,2633.58,0.0,0.0,0.0,0.0,630.32,630.32,630.32,630.32,0,0,1,1,,,,,,,
2017,combined_first,9813,1870.03,1,366.21,684823.6863,0.02112667952964535,2717.76,0.0,0.0,0.0,0.0,366.21,366.21,366.21,366.21,0,0,1,1,,,,,,,
2017,imv_only_first,18764,1303.27,4,,1517514.5553000001,0.36915377012537526,960.66,1164.39,1164.39,1164.39,1164.39,201.95,201.95,201.95,201.95,1,1,1,1,1164.39,,,,,,
2017,imv_only_first,15113,968.37,2,,790596.6353999999,0.19232219393681532,1356.57,816.42,816.42,816.42,816.42,435.56,435.56,435.56,435.56,1,1,1,1,816.42,,,,,,
2017,imv_only_first,4325,798.07,2,,672381.9557,0.16356504327687224,1454.41,842.51,842.51,842.51,842.51,435.56,435.56,435.56,435.56,1,1,1,1,842.51,,,,,,
2017,imv_only_first,8334,878.53,2,,504460.7113,0.12271616954587208,2339.13,574.21,574.21,574.21,574.21,481.33,481.33,481.33,481.33,1,1,1,1,574.21,,,,,,
2017,imv_only_first,4370,592.82,1,,322707.49520000006,0.07850250139923416,769.57,544.36,544.36,544.36,544.36,381.02,381.02,381.02,381.02,1,1,1,1,544.36,,,,,,
2017,imv_only_first,8262,1274.41,1,,303131.16260000004,0.07374032171583096,1179.48,237.86,237.86,237.86,237.86,381.02,381.02,381.02,381.02,1,1,1,1,237.86,,,,,,
2017,combined_maximum,11553,4095.99,6,,5427637.3089,0.1262842419160919,0.0,0.0,1325.11,1325.11,1325.11,0.0,0.0,0.0,0.0,1,1,0,0,,1325.11,,,,,
2017,combined_maximum,16578,3017.39,2,,3409650.6999999997,0.07933196883699607,1895.58,0.0,0.0,0.0,0.0,1130.0,1130.0,1130.0,1130.0,0,0,1,1,,1130.0,,,,,
2017,combined_maximum,15170,2373.85,1,,2088988.0,0.04860425465777441,630.0,0.0,0.0,0.0,0.0,880.0,880.0,880.0,880.0,0,0,1,1,,880.0,,,,,
2017,combined_maximum,9783,1698.6,2,,1919418.0,0.044658888067674894,1542.39,0.0,0.0,0.0,0.0,1130.0,1130.0,1130.0,1130.0,0,0,1,1,,1130.0,,,,,
2017,combined_maximum,8312,2030.35,1,,1786708.0,0.04157113905445258,500.0,0.0,0.0,0.0,0.0,880.0,880.0,880.0,880.0,0,0,1,1,,880.0,,,,,
2017,combined_maximum,18764,1303.27,4,,1780709.9318000001,0.04143158265956305,960.66,1164.39,1164.39,1164.39,1164.39,201.95,201.95,201.95,201.95,1,1,1,1,,1366.3400000000001,,,,,
2017,combined_maximum,11554,1256.76,2,,1590932.4840000002,0.03701605159802814,1485.0,0.0,720.57,720.57,720.57,0.0,545.33,545.33,545.33,1,1,1,1,,1265.9,,,,,
2017,combined_maximum,11824,1295.38,2,,1463779.4000000001,0.03405759473984735,1981.12,0.0,0.0,0.0,0.0,1130.0,1130.0,1130.0,1130.0,0,0,1,1,,1130.0,,,,,
2017,combined_maximum,11560,1609.44,1,,1416307.2,0.032953064269607785,896.28,0.0,0.0,0.0,0.0,880.0,880.0,880.0,880.0,0,0,1,1,,880.0,,,,,
