model,exposure_spec,outcome,group,pretrend_chi2_stat,pretrend_chi2_p,pretrend_inference,n_obs,n_clusters,exposure_label,interpretation
continuous,exposure_cov_admin,matdep,,5.389331351478226,0.06756496660620798,CRV1 asymptotic chi-square Wald diagnostic,171152,17,Administrative coverage exposure,Evidence inconsistent with parallel pre-trends at the 10% level
continuous,exposure_cov_admin,poverty,,10.107148237347172,0.006386466616624628,CRV1 asymptotic chi-square Wald diagnostic,171152,17,Administrative coverage exposure,Evidence inconsistent with parallel pre-trends at the 10% level
continuous,exposure_cov_admin,poverty_gap,,12.089344093244453,0.0023704581112643126,CRV1 asymptotic chi-square Wald diagnostic,171152,17,Administrative coverage exposure,Evidence inconsistent with parallel pre-trends at the 10% level
continuous,exposure_cov_admin,poverty_gap_sq,,7.707290262036861,0.021202310211122958,CRV1 asymptotic chi-square Wald diagnostic,171152,17,Administrative coverage exposure,Evidence inconsistent with parallel pre-trends at the 10% level
continuous,exposure_cov_hybrid,matdep,,8.907154704920645,0.01163686325902319,CRV1 asymptotic chi-square Wald diagnostic,171152,17,Hybrid coverage exposure,Evidence inconsistent with parallel pre-trends at the 10% level
continuous,exposure_cov_hybrid,poverty,,3.0477045371532525,0.21787097078017742,CRV1 asymptotic chi-square Wald diagnostic,171152,17,Hybrid coverage exposure,No evidence of differential pre-trends at the 10% level
continuous,exposure_cov_hybrid,poverty_gap,,11.720817369084486,0.0028500786615396345,CRV1 asymptotic chi-square Wald diagnostic,171152,17,Hybrid coverage exposure,Evidence inconsistent with parallel pre-trends at the 10% level
continuous,exposure_cov_hybrid,poverty_gap_sq,,6.324899405603756,0.04232193781919541,CRV1 asymptotic chi-square Wald diagnostic,171152,17,Hybrid coverage exposure,Evidence inconsistent with parallel pre-trends at the 10% level
continuous,exposure_cov_sim,matdep,,4.884265707489913,0.0869751482228495,CRV1 asymptotic chi-square Wald diagnostic,159769,15,Simulated coverage exposure,Evidence inconsistent with parallel pre-trends at the 10% level
continuous,exposure_cov_sim,poverty,,1.360607085324861,0.5064632358319089,CRV1 asymptotic chi-square Wald diagnostic,159769,15,Simulated coverage exposure,No evidence of differential pre-trends at the 10% level
continuous,exposure_cov_sim,poverty_gap,,11.796181922055036,0.0027446795207255936,CRV1 asymptotic chi-square Wald diagnostic,159769,15,Simulated coverage exposure,Evidence inconsistent with parallel pre-trends at the 10% level
continuous,exposure_cov_sim,poverty_gap_sq,,4.697242302972899,0.0955007525438248,CRV1 asymptotic chi-square Wald diagnostic,159769,15,Simulated coverage exposure,Evidence inconsistent with parallel pre-trends at the 10% level
continuous,exposure_exp_admin,matdep,,2.31755013980626,0.313870414822336,CRV1 asymptotic chi-square Wald diagnostic,171152,17,Administrative average-benefit exposure,No evidence of differential pre-trends at the 10% level
continuous,exposure_exp_admin,poverty,,5.958604723186032,0.05082828125989661,CRV1 asymptotic chi-square Wald diagnostic,171152,17,Administrative average-benefit exposure,Evidence inconsistent with parallel pre-trends at the 10% level
continuous,exposure_exp_admin,poverty_gap,,4.7633597297803005,0.092395235557897,CRV1 asymptotic chi-square Wald diagnostic,171152,17,Administrative average-benefit exposure,Evidence inconsistent with parallel pre-trends at the 10% level
continuous,exposure_exp_admin,poverty_gap_sq,,1.2564514834820786,0.5335375952019568,CRV1 asymptotic chi-square Wald diagnostic,171152,17,Administrative average-benefit exposure,No evidence of differential pre-trends at the 10% level
continuous,exposure_exp_hybrid,matdep,,0.215950319182247,0.8976498941438901,CRV1 asymptotic chi-square Wald diagnostic,171152,17,Hybrid average-benefit exposure,No evidence of differential pre-trends at the 10% level
continuous,exposure_exp_hybrid,poverty,,1.680807357213851,0.43153628629665397,CRV1 asymptotic chi-square Wald diagnostic,171152,17,Hybrid average-benefit exposure,No evidence of differential pre-trends at the 10% level
continuous,exposure_exp_hybrid,poverty_gap,,1.0372229302655482,0.5953466338721458,CRV1 asymptotic chi-square Wald diagnostic,171152,17,Hybrid average-benefit exposure,No evidence of differential pre-trends at the 10% level
continuous,exposure_exp_hybrid,poverty_gap_sq,,1.2934883664503714,0.5237482320956501,CRV1 asymptotic chi-square Wald diagnostic,171152,17,Hybrid average-benefit exposure,No evidence of differential pre-trends at the 10% level
continuous,exposure_exp_sim,matdep,,2.0000503602520308,0.36787017803737904,CRV1 asymptotic chi-square Wald diagnostic,159769,15,Simulated average-benefit exposure,No evidence of differential pre-trends at the 10% level
continuous,exposure_exp_sim,poverty,,2.2559630186309656,0.32368595455207033,CRV1 asymptotic chi-square Wald diagnostic,159769,15,Simulated average-benefit exposure,No evidence of differential pre-trends at the 10% level
continuous,exposure_exp_sim,poverty_gap,,0.004803190819449772,0.9976012861133187,CRV1 asymptotic chi-square Wald diagnostic,159769,15,Simulated average-benefit exposure,No evidence of differential pre-trends at the 10% level
continuous,exposure_exp_sim,poverty_gap_sq,,0.47741749272151407,0.7876442532236991,CRV1 asymptotic chi-square Wald diagnostic,159769,15,Simulated average-benefit exposure,No evidence of differential pre-trends at the 10% level
