model,exposure_spec,outcome,group,year,rel_year,term,coef,se,ci_low,ci_high,pval_crv1,reference_year,pre_period,n_obs,n_clusters,control_spec,pretrend_group_chi2_stat,pretrend_group_chi2_p,pretrend_inference,pretrend_chi2_stat,pretrend_chi2_p
tercile,exposure_cov_hybrid,poverty,medium,2017,-2,event_medium_2017,-0.014091561908060048,0.012732837042057589,-0.04108397062763861,0.012900846811518518,0.28478140871759994,2019,True,171152,17,preferred_demographic,1.5383916350665907,0.46338556506022155,CRV1 asymptotic chi-square Wald diagnostic,4.606456129532633,0.33011048650151975
tercile,exposure_cov_hybrid,poverty,medium,2018,-1,event_medium_2018,-0.010558810599092106,0.009439296766326679,-0.030569225834950087,0.009451604636765873,0.27982391266257167,2019,True,171152,17,preferred_demographic,1.5383916350665907,0.46338556506022155,CRV1 asymptotic chi-square Wald diagnostic,4.606456129532633,0.33011048650151975
tercile,exposure_cov_hybrid,poverty,medium,2021,2,event_medium_2021,-0.011429855926662357,0.00964567903410497,-0.03187778202564884,0.00901807017232412,0.2533315192848402,2019,False,171152,17,preferred_demographic,1.5383916350665907,0.46338556506022155,CRV1 asymptotic chi-square Wald diagnostic,4.606456129532633,0.33011048650151975
tercile,exposure_cov_hybrid,poverty,medium,2022,3,event_medium_2022,-0.010216899861663185,0.010083239129219572,-0.03159241192501086,0.011158612201684492,0.3260165286184822,2019,False,171152,17,preferred_demographic,1.5383916350665907,0.46338556506022155,CRV1 asymptotic chi-square Wald diagnostic,4.606456129532633,0.33011048650151975
tercile,exposure_cov_hybrid,poverty,medium,2023,4,event_medium_2023,-0.009457823260919236,0.011494020770013717,-0.03382405880063048,0.014908412278792008,0.4226896910548621,2019,False,171152,17,preferred_demographic,1.5383916350665907,0.46338556506022155,CRV1 asymptotic chi-square Wald diagnostic,4.606456129532633,0.33011048650151975
tercile,exposure_cov_hybrid,poverty,medium,2024,5,event_medium_2024,-0.006942979900224053,0.015463246727615771,-0.03972359858126245,0.025837638780814343,0.6594543604531984,2019,False,171152,17,preferred_demographic,1.5383916350665907,0.46338556506022155,CRV1 asymptotic chi-square Wald diagnostic,4.606456129532633,0.33011048650151975
tercile,exposure_cov_hybrid,poverty,medium,2025,6,event_medium_2025,-0.009335873738973887,0.012011806914975774,-0.03479976687125354,0.016128019393305767,0.44836590447790203,2019,False,171152,17,preferred_demographic,1.5383916350665907,0.46338556506022155,CRV1 asymptotic chi-square Wald diagnostic,4.606456129532633,0.33011048650151975
tercile,exposure_cov_hybrid,poverty,high,2017,-2,event_high_2017,0.007102627585710906,0.009393645746767336,-0.012811011811868368,0.027016266983290183,0.4605716995126359,2019,True,171152,17,preferred_demographic,0.7833188591797621,0.6759342779791391,CRV1 asymptotic chi-square Wald diagnostic,4.606456129532633,0.33011048650151975
tercile,exposure_cov_hybrid,poverty,high,2018,-1,event_high_2018,0.0014028784736179558,0.01264414328457015,-0.025401507879455144,0.02820726482669106,0.9130351865862023,2019,True,171152,17,preferred_demographic,0.7833188591797621,0.6759342779791391,CRV1 asymptotic chi-square Wald diagnostic,4.606456129532633,0.33011048650151975
tercile,exposure_cov_hybrid,poverty,high,2021,2,event_high_2021,-0.0017645190988648627,0.010242235650521918,-0.023477088730279132,0.019948050532549406,0.865378728854374,2019,False,171152,17,preferred_demographic,0.7833188591797621,0.6759342779791391,CRV1 asymptotic chi-square Wald diagnostic,4.606456129532633,0.33011048650151975
