model,exposure_spec,outcome,group,pretrend_wald_stat,pretrend_wald_p,pretrend_group_wald_stat,pretrend_group_wald_p,n_obs,n_clusters,exposure_label,interpretation
tercile,exposure_cov_hybrid,matdep,high,2.2908022565401245,0.6824441497175935,0.9591017238472125,0.6190613734098294,171933,17,Hybrid coverage exposure,No evidence of differential pre-trends at the 10% level
tercile,exposure_cov_hybrid,matdep,medium,2.2908022565401245,0.6824441497175935,0.7333401413726196,0.6930382609665726,171933,17,Hybrid coverage exposure,No evidence of differential pre-trends at the 10% level
tercile,exposure_cov_hybrid,poverty,high,4.729458396493567,0.3161995699095988,0.691956257235853,0.707527961551652,171933,17,Hybrid coverage exposure,No evidence of differential pre-trends at the 10% level
tercile,exposure_cov_hybrid,poverty,medium,4.729458396493567,0.3161995699095988,0.6972227549088811,0.7056673152176355,171933,17,Hybrid coverage exposure,No evidence of differential pre-trends at the 10% level
tercile,exposure_cov_hybrid,poverty_gap,high,3.1502769764968592,0.5329992970168611,1.7218317110316974,0.422774704408735,171933,17,Hybrid coverage exposure,No evidence of differential pre-trends at the 10% level
tercile,exposure_cov_hybrid,poverty_gap,medium,3.1502769764968592,0.5329992970168611,0.05370086653333233,0.9735068348732747,171933,17,Hybrid coverage exposure,No evidence of differential pre-trends at the 10% level
tercile,exposure_cov_hybrid,poverty_gap_sq,high,2.1016589389565907,0.7170676159122755,1.18720563686175,0.5523337375270427,171933,17,Hybrid coverage exposure,No evidence of differential pre-trends at the 10% level
tercile,exposure_cov_hybrid,poverty_gap_sq,medium,2.1016589389565907,0.7170676159122755,0.05827800028482719,0.9712814468236542,171933,17,Hybrid coverage exposure,No evidence of differential pre-trends at the 10% level
tercile,exposure_exp_hybrid,matdep,high,2.245524798725012,0.6907038420873706,1.0761322753458686,0.5838762976559987,171933,17,Hybrid average-benefit exposure,No evidence of differential pre-trends at the 10% level
tercile,exposure_exp_hybrid,matdep,medium,2.245524798725012,0.6907038420873706,1.0070976249597592,0.604382010968773,171933,17,Hybrid average-benefit exposure,No evidence of differential pre-trends at the 10% level
tercile,exposure_exp_hybrid,poverty,high,1.6962052582960494,0.7914068280810722,1.1790915476391388,0.554579131893217,171933,17,Hybrid average-benefit exposure,No evidence of differential pre-trends at the 10% level
tercile,exposure_exp_hybrid,poverty,medium,1.6962052582960494,0.7914068280810722,0.44649528985471854,0.7999167294435221,171933,17,Hybrid average-benefit exposure,No evidence of differential pre-trends at the 10% level
tercile,exposure_exp_hybrid,poverty_gap,high,0.8497335618829379,0.931658955676852,0.4829789946504592,0.7854570531456401,171933,17,Hybrid average-benefit exposure,No evidence of differential pre-trends at the 10% level
tercile,exposure_exp_hybrid,poverty_gap,medium,0.8497335618829379,0.931658955676852,0.1863375072499393,0.9110397460635737,171933,17,Hybrid average-benefit exposure,No evidence of differential pre-trends at the 10% level
tercile,exposure_exp_hybrid,poverty_gap_sq,high,0.889195592493912,0.9261057452472626,0.004567879184100193,0.9977186666134638,171933,17,Hybrid average-benefit exposure,No evidence of differential pre-trends at the 10% level
tercile,exposure_exp_hybrid,poverty_gap_sq,medium,0.889195592493912,0.9261057452472626,0.8164696812702986,0.6648227330955367,171933,17,Hybrid average-benefit exposure,No evidence of differential pre-trends at the 10% level
