model,exposure_spec,exposure_label,outcome,outcome_label,pretrend_wald_stat,pretrend_wald_p,lead_mean,lead_max_abs,post_mean,post_max_abs,lead_to_post_ratio,n_obs,n_clusters,expected_pre_years,estimated_pre_years,n_pretrend_terms_expected,n_pretrend_terms_estimated
alternative_exposure_event_study,exposure_admin,Administrative,matdep,Severe material deprivation,2.493213130084739,0.2874786837297003,-0.0007678030472577538,0.003492413031665872,0.006182609014701803,0.007641365734241518,0.45704042354838664,171933,17,"2017,2018","2017,2018",2,2
alternative_exposure_event_study,exposure_admin,Administrative,poverty,At-risk-of-poverty,7.8826357992214895,0.019422600832732832,0.005544055849759737,0.007196854094297524,0.00037274710040565524,0.0022569723587179793,3.18872052929595,171933,17,"2017,2018","2017,2018",2,2
alternative_exposure_event_study,exposure_admin,Administrative,poverty_gap,Poverty gap,16.363765575322628,0.0002796748757040579,0.0023781758180464042,0.0033579738031481138,0.0009991996682815912,0.0019520928123265466,1.7201916742606145,171933,17,"2017,2018","2017,2018",2,2
alternative_exposure_event_study,exposure_admin,Administrative,poverty_gap_sq,Squared poverty gap,9.178063142597782,0.010162695455304254,0.0013258071061901446,0.002291726284865078,0.0012353366238412162,0.0020410981938436064,1.1227908053504825,171933,17,"2017,2018","2017,2018",2,2
alternative_exposure_event_study,exposure_composite_hybrid,Composite hybrid,matdep,Severe material deprivation,0.9463538664140103,0.6230198285288635,0.0009920370011864124,0.0034952711442692,0.009335953447518378,0.011514922730763608,0.30354273545675914,171933,17,"2017,2018","2017,2018",2,2
alternative_exposure_event_study,exposure_composite_hybrid,Composite hybrid,poverty,At-risk-of-poverty,5.133743715001608,0.07677533436771077,0.00650866377567504,0.007386214277116384,0.004384101624331338,0.006049382742090751,1.2209864364713028,171933,17,"2017,2018","2017,2018",2,2
alternative_exposure_event_study,exposure_composite_hybrid,Composite hybrid,poverty_gap,Poverty gap,6.352843944567014,0.04173471626122366,0.0020147805157505728,0.0036894358832037124,0.0030187458131519396,0.004321713298169208,0.8536975103754928,171933,17,"2017,2018","2017,2018",2,2
alternative_exposure_event_study,exposure_composite_hybrid,Composite hybrid,poverty_gap_sq,Squared poverty gap,3.062231288571928,0.21629422524283606,0.0008796490191486581,0.0023148541650046058,0.0027978156072334557,0.0034778638658987987,0.6655965426658149,171933,17,"2017,2018","2017,2018",2,2
alternative_exposure_event_study,exposure_composite_sim,Composite simulated,matdep,Severe material deprivation,0.9978847790708082,0.6071724722194312,0.001213408667675478,0.004127175333399167,0.010279028242648714,0.01284637796413496,0.3212715167591661,160509,15,"2017,2018","2017,2018",2,2
alternative_exposure_event_study,exposure_composite_sim,Composite simulated,poverty,At-risk-of-poverty,6.479015050709206,0.039183187074352754,0.006385370574800932,0.008245062993844454,0.005565306750117134,0.0069441860780299815,1.1873332455664152,160509,15,"2017,2018","2017,2018",2,2
alternative_exposure_event_study,exposure_composite_sim,Composite simulated,poverty_gap,Poverty gap,2.4136597540045845,0.29914410146147247,0.0015501993865051963,0.002841204675248045,0.00321282334950044,0.004597112296180118,0.6180411728486357,160509,15,"2017,2018","2017,2018",2,2
alternative_exposure_event_study,exposure_composite_sim,Composite simulated,poverty_gap_sq,Squared poverty gap,1.1636794119445368,0.5588692651088671,0.0005387474495848528,0.0017077257649035949,0.0028551213266758404,0.003576950755914733,0.4774250140513546,160509,15,"2017,2018","2017,2018",2,2
alternative_exposure_event_study,exposure_cov_hybrid,Coverage hybrid,matdep,Severe material deprivation,0.5596536381124932,0.7559146401315952,0.00032350777894126935,0.001996017241170869,0.008271517727795835,0.01052502737381142,0.18964485034380035,171933,17,"2017,2018","2017,2018",2,2
alternative_exposure_event_study,exposure_cov_hybrid,Coverage hybrid,poverty,At-risk-of-poverty,11.811905556656772,0.002723185951746844,0.006396188211274782,0.008211446637278014,0.0027171499753734078,0.004057010994819898,2.0240138978579583,171933,17,"2017,2018","2017,2018",2,2
alternative_exposure_event_study,exposure_cov_hybrid,Coverage hybrid,poverty_gap,Poverty gap,9.294260862647347,0.009589079008765568,0.0019562572631562775,0.0030656048620353706,0.002012517569774682,0.002850198870010512,1.0755757762348928,171933,17,"2017,2018","2017,2018",2,2
alternative_exposure_event_study,exposure_cov_hybrid,Coverage hybrid,poverty_gap_sq,Squared poverty gap,3.3244065850630258,0.18972050948259678,0.0008221727334717424,0.0018693448537669445,0.0019573216326271153,0.002315458460818455,0.8073324939313224,171933,17,"2017,2018","2017,2018",2,2
alternative_exposure_event_study,exposure_exp_hybrid,Expenditure hybrid,matdep,Severe material deprivation,1.441243965778704,0.486449598519043,0.001668855028191092,0.004182121914048878,0.005575674953502549,0.008421043981335767,0.4966274874371929,171933,17,"2017,2018","2017,2018",2,2
alternative_exposure_event_study,exposure_exp_hybrid,Expenditure hybrid,poverty,At-risk-of-poverty,1.850279549376218,0.3964759978928956,0.002701689882524557,0.004146790225864767,0.00470060505321241,0.006239224617509993,0.6646323029030018,171933,17,"2017,2018","2017,2018",2,2
alternative_exposure_event_study,exposure_exp_hybrid,Expenditure hybrid,poverty_gap,Poverty gap,5.014074714831598,0.08150936499555582,0.0008864372400393528,0.0025965842137418674,0.0029920740647260266,0.0042854956691446575,0.6059005571834167,171933,17,"2017,2018","2017,2018",2,2
alternative_exposure_event_study,exposure_exp_hybrid,Expenditure hybrid,poverty_gap_sq,Squared poverty gap,3.733328262989209,0.1546386565843598,0.000450854603088369,0.0017328354217954448,0.002611604610047545,0.0035290841998063933,0.49101560736082994,171933,17,"2017,2018","2017,2018",2,2
