model,exposure_spec,outcome,year,rel_year,term,coef,se,ci_low,ci_high,pval_crv1,pval_wbt,pre_period,reference_year,n_obs,n_clusters,pretrend_wald_stat,pretrend_wald_p,lead_mean,lead_max_abs,region_trends
continuous_event_study,exposure_composite_hybrid,poverty,2017,-2,yr_2017_x_exp,0.011287686627831564,0.0051017196262265,0.0004725241570529299,0.022102849098610197,0.041817250762642644,0.04220422042204221,True,2019,171999,17,4.9058708538317415,0.08604064940369678,0.00898564565505949,0.011287686627831564,False
continuous_event_study,exposure_composite_hybrid,poverty,2018,-1,yr_2018_x_exp,0.006683604682287413,0.004869772437329725,-0.003639851713609475,0.017007061078184303,0.18885249091455214,0.23342334233423342,True,2019,171999,17,4.9058708538317415,0.08604064940369678,0.00898564565505949,0.011287686627831564,False
continuous_event_study,exposure_composite_hybrid,poverty,2019,0,reference,0.0,0.0,0.0,0.0,,,True,2019,171999,17,4.9058708538317415,0.08604064940369678,0.00898564565505949,0.011287686627831564,False
continuous_event_study,exposure_composite_hybrid,poverty,2021,2,yr_2021_x_exp,0.00046423720217272425,0.005315534539556429,-0.010804192636426561,0.01173266704077201,0.9314881971459452,0.9363936393639364,False,2019,171999,17,4.9058708538317415,0.08604064940369678,0.00898564565505949,0.011287686627831564,False
continuous_event_study,exposure_composite_hybrid,poverty,2022,3,yr_2022_x_exp,-0.0006085825133533613,0.0045838892724544885,-0.010325993673073092,0.00910882864636637,0.8960342016438048,0.9051905190519052,False,2019,171999,17,4.9058708538317415,0.08604064940369678,0.00898564565505949,0.011287686627831564,False
continuous_event_study,exposure_composite_hybrid,poverty,2023,4,yr_2023_x_exp,-0.00016433919332110524,0.005601759786844049,-0.01203953945041633,0.01171086106377412,0.9769585878951341,0.9794979497949795,False,2019,171999,17,4.9058708538317415,0.08604064940369678,0.00898564565505949,0.011287686627831564,False
continuous_event_study,exposure_composite_hybrid,poverty,2024,5,yr_2024_x_exp,-0.0017286593297615959,0.006809250355675373,-0.016163625242482032,0.012706306582958841,0.8028300992969761,0.8197819781978197,False,2019,171999,17,4.9058708538317415,0.08604064940369678,0.00898564565505949,0.011287686627831564,False
continuous_event_study,exposure_composite_hybrid,poverty,2025,6,yr_2025_x_exp,-0.00177657596223929,0.005937834173333623,-0.014364222092186296,0.010811070167707715,0.7686419329620928,0.8120812081208121,False,2019,171999,17,4.9058708538317415,0.08604064940369678,0.00898564565505949,0.011287686627831564,False
continuous_event_study,exposure_composite_hybrid,matdep,2017,-2,yr_2017_x_exp,0.005916078473376452,0.003995760757586889,-0.00255455593105233,0.014386712877805234,0.15813869270340053,0.15321532153215323,True,2019,171999,17,2.195615629620923,0.33360159917784427,0.0021746179898062797,0.005916078473376452,False
continuous_event_study,exposure_composite_hybrid,matdep,2018,-1,yr_2018_x_exp,-0.001566842493763892,0.0026599686751184156,-0.00720572418390996,0.004072039196382177,0.5640556444183131,0.5878587858785879,True,2019,171999,17,2.195615629620923,0.33360159917784427,0.0021746179898062797,0.005916078473376452,False
continuous_event_study,exposure_composite_hybrid,matdep,2019,0,reference,0.0,0.0,0.0,0.0,,,True,2019,171999,17,2.195615629620923,0.33360159917784427,0.0021746179898062797,0.005916078473376452,False
continuous_event_study,exposure_composite_hybrid,matdep,2021,2,yr_2021_x_exp,0.008447613532984392,0.0027454152308443195,0.002627593236554775,0.01426763382941401,0.0072194596796544275,0.04570457045704571,False,2019,171999,17,2.195615629620923,0.33360159917784427,0.0021746179898062797,0.005916078473376452,False
continuous_event_study,exposure_composite_hybrid,matdep,2022,3,yr_2022_x_exp,0.009279454728552593,0.0023118164347859815,0.004378622817623003,0.014180286639482183,0.0010022569211003418,0.028902890289028902,False,2019,171999,17,2.195615629620923,0.33360159917784427,0.0021746179898062797,0.005916078473376452,False
continuous_event_study,exposure_composite_hybrid,matdep,2023,4,yr_2023_x_exp,0.009662454933647445,0.003958848702871377,0.0012700705896152246,0.018054839277679667,0.026662948788691798,0.13571357135713571,False,2019,171999,17,2.195615629620923,0.33360159917784427,0.0021746179898062797,0.005916078473376452,False
continuous_event_study,exposure_composite_hybrid,matdep,2024,5,yr_2024_x_exp,0.004571661061495211,0.0030987751629810477,-0.0019974488276035185,0.011140770950593942,0.1595353652186151,0.2573257325732573,False,2019,171999,17,2.195615629620923,0.33360159917784427,0.0021746179898062797,0.005916078473376452,False
continuous_event_study,exposure_composite_hybrid,matdep,2025,6,yr_2025_x_exp,0.006113511729588604,0.003810976921047976,-0.0019653984405509006,0.014192421899728108,0.12822783916653147,0.34133413341334135,False,2019,171999,17,2.195615629620923,0.33360159917784427,0.0021746179898062797,0.005916078473376452,False
continuous_event_study,exposure_composite_hybrid,poverty_gap,2017,-2,yr_2017_x_exp,0.00631623055285403,0.0021892320747907844,0.001675265876279904,0.010957195229428156,0.010768000777423348,0.08720872087208721,True,2019,171999,17,11.274884541115236,0.003561967313660182,0.0032067129529080533,0.00631623055285403,False
continuous_event_study,exposure_composite_hybrid,poverty_gap,2018,-1,yr_2018_x_exp,9.719535296207644e-05,0.0021028038294095774,-0.004360549628226034,0.004554940334150187,0.9637054785718406,0.9636963696369637,True,2019,171999,17,11.274884541115236,0.003561967313660182,0.0032067129529080533,0.00631623055285403,False
continuous_event_study,exposure_composite_hybrid,poverty_gap,2019,0,reference,0.0,0.0,0.0,0.0,,,True,2019,171999,17,11.274884541115236,0.003561967313660182,0.0032067129529080533,0.00631623055285403,False
continuous_event_study,exposure_composite_hybrid,poverty_gap,2021,2,yr_2021_x_exp,0.0012866805662025385,0.0023023956691334835,-0.0035941802136975998,0.006167541346102676,0.5840056312118738,0.592959295929593,False,2019,171999,17,11.274884541115236,0.003561967313660182,0.0032067129529080533,0.00631623055285403,False
continuous_event_study,exposure_composite_hybrid,poverty_gap,2022,3,yr_2022_x_exp,0.0005492691800329142,0.002207425715096387,-0.004130264291037184,0.005228802651103013,0.8066597174696337,0.8347834783478347,False,2019,171999,17,11.274884541115236,0.003561967313660182,0.0032067129529080533,0.00631623055285403,False
