model,exposure_spec,exposure_label,outcome,outcome_label,year,rel_year,term,coef,se,ci_low,ci_high,ci_95,pval_crv1,pval_wbt,pretrend_wald_p,pre_period,reference_year,n_obs,n_clusters,coef_rounded,se_rounded,pval_crv1_rounded,pval_wbt_rounded
primary_continuous_event_study,exposure_composite_hybrid,Composite hybrid,matdep,Severe material deprivation,2017,-2,year::2017:_exposure,0.003611246639514072,0.0036680224973205324,-0.004164613690218505,0.01138710696924665,"[-0.0042, 0.0114]",0.3395138613536761,,0.6029297222950604,True,2019,171933,17,0.0036,0.0037,0.3395,
primary_continuous_event_study,exposure_composite_hybrid,Composite hybrid,matdep,Severe material deprivation,2018,-1,year::2018:_exposure,-0.0017369298863744345,0.0030041726401310643,-0.008105491385963785,0.004631631613214915,"[-0.0081, 0.0046]",0.571196478816683,,0.6029297222950604,True,2019,171933,17,-0.0017,0.003,0.5712,
primary_continuous_event_study,exposure_composite_hybrid,Composite hybrid,matdep,Severe material deprivation,2019,0,reference,0.0,0.0,0.0,0.0,"[0.0, 0.0]",,,0.6029297222950604,True,2019,171933,17,0.0,0.0,,
primary_continuous_event_study,exposure_composite_hybrid,Composite hybrid,matdep,Severe material deprivation,2021,2,year::2021:_exposure,0.009933291063154171,0.0029519431650049713,0.00367545110466017,0.016191131021648174,"[0.0037, 0.0162]",0.003940639244206956,,0.6029297222950604,False,2019,171933,17,0.0099,0.003,0.0039,
primary_continuous_event_study,exposure_composite_hybrid,Composite hybrid,matdep,Severe material deprivation,2022,3,year::2022:_exposure,0.010183256610037092,0.0028348469283931933,0.004173649584055265,0.01619286363601892,"[0.0042, 0.0162]",0.0024392223340303776,,0.6029297222950604,False,2019,171933,17,0.0102,0.0028,0.0024,
primary_continuous_event_study,exposure_composite_hybrid,Composite hybrid,matdep,Severe material deprivation,2023,4,year::2023:_exposure,0.011474577630209107,0.004086315055649243,0.0028119766894506813,0.020137178570967532,"[0.0028, 0.0201]",0.01262982637384491,,0.6029297222950604,False,2019,171933,17,0.0115,0.0041,0.0126,
primary_continuous_event_study,exposure_composite_hybrid,Composite hybrid,matdep,Severe material deprivation,2024,5,year::2024:_exposure,0.006875256464018492,0.0030357704800820554,0.0004397105360730907,0.013310802391963892,"[0.0004, 0.0133]",0.037768757581357004,,0.6029297222950604,False,2019,171933,17,0.0069,0.003,0.0378,
primary_continuous_event_study,exposure_composite_hybrid,Composite hybrid,matdep,Severe material deprivation,2025,6,year::2025:_exposure,0.007375691430340567,0.0037378141046940706,-0.0005481204977043422,0.015299503358385477,"[-0.0005, 0.0153]",0.06599608626372166,,0.6029297222950604,False,2019,171933,17,0.0074,0.0037,0.066,
primary_continuous_event_study,exposure_composite_hybrid,Composite hybrid,poverty,At-risk-of-poverty,2017,-2,year::2017:_exposure,0.005924833031224291,0.004220243727657205,-0.0030216840110414787,0.014871350073490061,"[-0.003, 0.0149]",0.17945842288772207,,0.19156037264911605,True,2019,171933,17,0.0059,0.0042,0.1795,
primary_continuous_event_study,exposure_composite_hybrid,Composite hybrid,poverty,At-risk-of-poverty,2018,-1,year::2018:_exposure,0.006814523104659096,0.004010520740788772,-0.0016874010663757736,0.015316447275693965,"[-0.0017, 0.0153]",0.10864499808515782,,0.19156037264911605,True,2019,171933,17,0.0068,0.004,0.1086,
