model,exposure_spec,outcome,year,rel_year,term,coef,se,ci_low,ci_high,pval_crv1,pval_wbt,pre_period,reference_year,n_obs,n_clusters,pretrend_wald_stat,pretrend_wald_p,lead_mean,lead_max_abs,region_trends
continuous_event_study_region_trends,exposure_composite_hybrid,poverty,2017,-2,yr_2017_x_exp,0.01433557080414075,0.004713493205106019,0.004343411580793124,0.024327730027488375,0.007777471420697735,,True,2019,171999,17,9.550358319704552,0.008436572456968725,0.011240383552532969,0.01433557080414075,True
continuous_event_study_region_trends,exposure_composite_hybrid,poverty,2018,-1,yr_2018_x_exp,0.008145196300925188,0.004897206805829728,-0.0022364183581356466,0.018526810959986022,0.11572659310788702,,True,2019,171999,17,9.550358319704552,0.008436572456968725,0.011240383552532969,0.01433557080414075,True
continuous_event_study_region_trends,exposure_composite_hybrid,poverty,2019,0,reference,0.0,0.0,0.0,0.0,,,True,2019,171999,17,9.550358319704552,0.008436572456968725,0.011240383552532969,0.01433557080414075,True
continuous_event_study_region_trends,exposure_composite_hybrid,poverty,2021,2,yr_2021_x_exp,-0.003000932874651922,0.005414098099572875,-0.014478308126440183,0.00847644237713634,0.5870509064434197,,False,2019,171999,17,9.550358319704552,0.008436572456968725,0.011240383552532969,0.01433557080414075,True
continuous_event_study_region_trends,exposure_composite_hybrid,poverty,2022,3,yr_2022_x_exp,-0.005784961033950575,0.004353843994666412,-0.015014697990226538,0.0034447759223253886,0.20258602144535653,,False,2019,171999,17,9.550358319704552,0.008436572456968725,0.011240383552532969,0.01433557080414075,True
continuous_event_study_region_trends,exposure_composite_hybrid,poverty,2023,4,yr_2023_x_exp,-0.007098540772101882,0.0039493630418906715,-0.015470816413154492,0.0012737348689507268,0.09117196354712354,,False,2019,171999,17,9.550358319704552,0.008436572456968725,0.011240383552532969,0.01433557080414075,True
continuous_event_study_region_trends,exposure_composite_hybrid,poverty,2024,5,yr_2024_x_exp,-0.010412626589954488,0.004180578396968617,-0.019275056887498157,-0.0015501962924108197,0.024120437051303734,,False,2019,171999,17,9.550358319704552,0.008436572456968725,0.011240383552532969,0.01433557080414075,True
continuous_event_study_region_trends,exposure_composite_hybrid,poverty,2025,6,yr_2025_x_exp,-0.012281202373477866,0.00328263441106704,-0.019240076456904925,-0.005322328290050806,0.001780292011239748,,False,2019,171999,17,9.550358319704552,0.008436572456968725,0.011240383552532969,0.01433557080414075,True
continuous_event_study_region_trends,exposure_composite_hybrid,matdep,2017,-2,yr_2017_x_exp,0.004913321755544978,0.003772626056727061,-0.003084288214090903,0.01291093172518086,0.21122899427256714,,True,2019,171999,17,1.872534523766405,0.3920886715322874,0.0014013555690034194,0.004913321755544978,True
continuous_event_study_region_trends,exposure_composite_hybrid,matdep,2018,-1,yr_2018_x_exp,-0.0021106106175381393,0.0029189120417780347,-0.008298427722864127,0.004077206487787848,0.4800677237880313,,True,2019,171999,17,1.872534523766405,0.3920886715322874,0.0014013555690034194,0.004913321755544978,True
continuous_event_study_region_trends,exposure_composite_hybrid,matdep,2019,0,reference,0.0,0.0,0.0,0.0,,,True,2019,171999,17,1.872534523766405,0.3920886715322874,0.0014013555690034194,0.004913321755544978,True
continuous_event_study_region_trends,exposure_composite_hybrid,matdep,2021,2,yr_2021_x_exp,0.009133432380598805,0.0026907734926107842,0.0034292473946091195,0.01483761736658849,0.003704047181825043,,False,2019,171999,17,1.872534523766405,0.3920886715322874,0.0014013555690034194,0.004913321755544978,True
continuous_event_study_region_trends,exposure_composite_hybrid,matdep,2022,3,yr_2022_x_exp,0.010397913237657399,0.0016252906770215971,0.006952450918664414,0.013843375556650384,8.831413182308623e-06,,False,2019,171999,17,1.872534523766405,0.3920886715322874,0.0014013555690034194,0.004913321755544978,True
continuous_event_study_region_trends,exposure_composite_hybrid,matdep,2023,4,yr_2023_x_exp,0.011224632801262027,0.003078107829895744,0.004699335701091603,0.01774992990143245,0.002174269976699783,,False,2019,171999,17,1.872534523766405,0.3920886715322874,0.0014013555690034194,0.004913321755544978,True
continuous_event_study_region_trends,exposure_composite_hybrid,matdep,2024,5,yr_2024_x_exp,0.006484800494296309,0.0019571280711104156,0.0023358743250946673,0.01063372666349795,0.0043932486994864295,,False,2019,171999,17,1.872534523766405,0.3920886715322874,0.0014013555690034194,0.004913321755544978,True
continuous_event_study_region_trends,exposure_composite_hybrid,matdep,2025,6,yr_2025_x_exp,0.008482004771229828,0.0016427731502633976,0.004999481264568057,0.011964528277891599,9.430379456354387e-05,,False,2019,171999,17,1.872534523766405,0.3920886715322874,0.0014013555690034194,0.004913321755544978,True
continuous_event_study_region_trends,exposure_composite_hybrid,poverty_gap,2017,-2,yr_2017_x_exp,0.007035085596446503,0.00243682264559403,0.001869252356789362,0.012200918836103644,0.010726634331138518,,True,2019,171999,17,9.442091726313842,0.008905859365802713,0.0037223341083182466,0.007035085596446503,True
continuous_event_study_region_trends,exposure_composite_hybrid,poverty_gap,2018,-1,yr_2018_x_exp,0.00040958262018999004,0.0019011976767056018,-0.003620776409525353,0.004439941649905333,0.8321511847204308,,True,2019,171999,17,9.442091726313842,0.008905859365802713,0.0037223341083182466,0.007035085596446503,True
continuous_event_study_region_trends,exposure_composite_hybrid,poverty_gap,2019,0,reference,0.0,0.0,0.0,0.0,,,True,2019,171999,17,9.442091726313842,0.008905859365802713,0.0037223341083182466,0.007035085596446503,True
continuous_event_study_region_trends,exposure_composite_hybrid,poverty_gap,2021,2,yr_2021_x_exp,0.0003996339643347747,0.002071339852462508,-0.003991410365388668,0.004790678294058217,0.8494376435994977,,False,2019,171999,17,9.442091726313842,0.008905859365802713,0.0037223341083182466,0.007035085596446503,True
continuous_event_study_region_trends,exposure_composite_hybrid,poverty_gap,2022,3,yr_2022_x_exp,-0.0007707931267909761,0.0013632532659795713,-0.003660760949521752,0.0021191746959397994,0.579639867414818,,False,2019,171999,17,9.442091726313842,0.008905859365802713,0.0037223341083182466,0.007035085596446503,True
continuous_event_study_region_trends,exposure_composite_hybrid,poverty_gap,2023,4,yr_2023_x_exp,-0.00197021154222529,0.0018510490199496667,-0.005894260168734899,0.001953837084284318,0.3029587410056991,,False,2019,171999,17,9.442091726313842,0.008905859365802713,0.0037223341083182466,0.007035085596446503,True
continuous_event_study_region_trends,exposure_composite_hybrid,poverty_gap,2024,5,yr_2024_x_exp,-0.0027446130948931315,0.001954656279011326,-0.006888299298925341,0.0013990731091390778,0.17939017670730828,,False,2019,171999,17,9.442091726313842,0.008905859365802713,0.0037223341083182466,0.007035085596446503,True
continuous_event_study_region_trends,exposure_composite_hybrid,poverty_gap,2025,6,yr_2025_x_exp,-0.0028057377811500105,0.00157810964573356,-0.0061511807818927615,0.00053970521959274,0.09442664881776408,,False,2019,171999,17,9.442091726313842,0.008905859365802713,0.0037223341083182466,0.007035085596446503,True
continuous_event_study_region_trends,exposure_composite_hybrid,poverty_gap_sq,2017,-2,yr_2017_x_exp,0.004740482455718016,0.0018567726159271886,0.000804300347765058,0.008676664563670975,0.021270522886144727,,True,2019,171999,17,6.518214041265243,0.038422693375172866,0.0021947822452425495,0.004740482455718016,True
continuous_event_study_region_trends,exposure_composite_hybrid,poverty_gap_sq,2018,-1,yr_2018_x_exp,-0.0003509179652329172,0.001341567993005861,-0.003194915062871665,0.0024930791324058307,0.7969880302205921,,True,2019,171999,17,6.518214041265243,0.038422693375172866,0.0021947822452425495,0.004740482455718016,True
continuous_event_study_region_trends,exposure_composite_hybrid,poverty_gap_sq,2019,0,reference,0.0,0.0,0.0,0.0,,,True,2019,171999,17,6.518214041265243,0.038422693375172866,0.0021947822452425495,0.004740482455718016,True
continuous_event_study_region_trends,exposure_composite_hybrid,poverty_gap_sq,2021,2,yr_2021_x_exp,0.0005732813496182427,0.0016817123134262716,-0.002991789495379746,0.004138352194616232,0.7376205037344343,,False,2019,171999,17,6.518214041265243,0.038422693375172866,0.0021947822452425495,0.004740482455718016,True
continuous_event_study_region_trends,exposure_composite_hybrid,poverty_gap_sq,2022,3,yr_2022_x_exp,-8.989784510431955e-06,0.0012963935607165171,-0.0027572213637496877,0.002739241794728824,0.9945528751964141,,False,2019,171999,17,6.518214041265243,0.038422693375172866,0.0021947822452425495,0.004740482455718016,True
continuous_event_study_region_trends,exposure_composite_hybrid,poverty_gap_sq,2023,4,yr_2023_x_exp,-0.0011015099621416195,0.0014486533393487581,-0.004172517852961619,0.001969497928678379,0.4580937727092176,,False,2019,171999,17,6.518214041265243,0.038422693375172866,0.0021947822452425495,0.004740482455718016,True
continuous_event_study_region_trends,exposure_composite_hybrid,poverty_gap_sq,2024,5,yr_2024_x_exp,-0.0017779285377694492,0.0014510663857676188,-0.004854051858480058,0.001298194782941159,0.23821020340347143,,False,2019,171999,17,6.518214041265243,0.038422693375172866,0.0021947822452425495,0.004740482455718016,True
continuous_event_study_region_trends,exposure_composite_hybrid,poverty_gap_sq,2025,6,yr_2025_x_exp,-0.0017840178253855925,0.0010049142698872202,-0.003914340911382569,0.0003463052606113835,0.094871617394235,,False,2019,171999,17,6.518214041265243,0.038422693375172866,0.0021947822452425495,0.004740482455718016,True
