drgn2,exposure_value,exposure_tercile,medium_exp,high_exp,exposure_spec
51,0.9528000000000232,high,0.0,1.0,exposure_composite_hybrid
43,1.0084000000000175,high,0.0,1.0,exposure_composite_hybrid
62,1.0687000000000102,high,0.0,1.0,exposure_composite_hybrid
70,1.1639999999999895,high,0.0,1.0,exposure_composite_hybrid
52,1.3731999999999973,high,0.0,1.0,exposure_composite_hybrid
61,1.4020000000000354,high,0.0,1.0,exposure_composite_hybrid
21,-1.7364000000000017,low,0.0,0.0,exposure_composite_hybrid
22,-1.1168000000000093,low,0.0,0.0,exposure_composite_hybrid
12,-0.7214000000000067,low,0.0,0.0,exposure_composite_hybrid
23,-0.1264999999999991,low,0.0,0.0,exposure_composite_hybrid
13,-0.10450000000000118,low,0.0,0.0,exposure_composite_hybrid
53,0.012800000000000152,low,0.0,0.0,exposure_composite_hybrid
24,0.07359999999999933,medium,1.0,0.0,exposure_composite_hybrid
30,0.15149999999999875,medium,1.0,0.0,exposure_composite_hybrid
41,0.4282999999999935,medium,1.0,0.0,exposure_composite_hybrid
11,0.6245000000000095,medium,1.0,0.0,exposure_composite_hybrid
42,0.7054000000000108,medium,1.0,0.0,exposure_composite_hybrid
62,1.5411999999999797,high,0.0,1.0,exposure_exp_hybrid
43,1.631200000000019,high,0.0,1.0,exposure_exp_hybrid
61,2.1881000000000177,high,0.0,1.0,exposure_exp_hybrid
51,2.4146999999999026,high,0.0,1.0,exposure_exp_hybrid
70,2.747299999999996,high,0.0,1.0,exposure_exp_hybrid
52,3.1886000000000374,high,0.0,1.0,exposure_exp_hybrid
23,0.02510000000000005,low,0.0,0.0,exposure_exp_hybrid
53,0.1290000000000003,low,0.0,0.0,exposure_exp_hybrid
24,0.18549999999999955,low,0.0,0.0,exposure_exp_hybrid
13,0.22740000000000032,low,0.0,0.0,exposure_exp_hybrid
30,0.2735000000000096,low,0.0,0.0,exposure_exp_hybrid
12,0.3965000000000028,low,0.0,0.0,exposure_exp_hybrid
21,0.46719999999999545,medium,1.0,0.0,exposure_exp_hybrid
22,0.7013000000000031,medium,1.0,0.0,exposure_exp_hybrid
41,0.8212999999999816,medium,1.0,0.0,exposure_exp_hybrid
42,0.9464000000000133,medium,1.0,0.0,exposure_exp_hybrid
11,1.1928000000000183,medium,1.0,0.0,exposure_exp_hybrid
70,0.48540000000000655,high,0.0,1.0,exposure_cov_hybrid
52,0.5951999999999844,high,0.0,1.0,exposure_cov_hybrid
42,0.6020999999999992,high,0.0,1.0,exposure_cov_hybrid
43,0.7413999999999987,high,0.0,1.0,exposure_cov_hybrid
62,0.8662000000000102,high,0.0,1.0,exposure_cov_hybrid
61,1.0650999999999775,high,0.0,1.0,exposure_cov_hybrid
21,-2.6808000000000516,low,0.0,0.0,exposure_cov_hybrid
22,-1.8959999999999797,low,0.0,0.0,exposure_cov_hybrid
12,-1.200500000000009,low,0.0,0.0,exposure_cov_hybrid
13,-0.24670000000000197,low,0.0,0.0,exposure_cov_hybrid
23,-0.1915000000000013,low,0.0,0.0,exposure_cov_hybrid
53,-0.03699999999999998,low,0.0,0.0,exposure_cov_hybrid
24,0.025600000000000428,medium,1.0,0.0,exposure_cov_hybrid
30,0.09919999999999782,medium,1.0,0.0,exposure_cov_hybrid
41,0.2598999999999996,medium,1.0,0.0,exposure_cov_hybrid
51,0.32619999999997656,medium,1.0,0.0,exposure_cov_hybrid
11,0.3809999999999875,medium,1.0,0.0,exposure_cov_hybrid
51,1.009500000000059,high,0.0,1.0,exposure_composite_sim
70,1.3260999999999994,high,0.0,1.0,exposure_composite_sim
62,1.413099999999996,high,0.0,1.0,exposure_composite_sim
52,1.5297000000000394,high,0.0,1.0,exposure_composite_sim
61,1.55460000000005,high,0.0,1.0,exposure_composite_sim
21,-1.28459999999997,low,0.0,0.0,exposure_composite_sim
22,-0.9212999999999839,low,0.0,0.0,exposure_composite_sim
12,-0.6647000000000061,low,0.0,0.0,exposure_composite_sim
13,-0.04310000000000038,low,0.0,0.0,exposure_composite_sim
30,0.132200000000007,low,0.0,0.0,exposure_composite_sim
53,0.24459999999999824,medium,1.0,0.0,exposure_composite_sim
41,0.4709000000000016,medium,1.0,0.0,exposure_composite_sim
42,0.7959000000000015,medium,1.0,0.0,exposure_composite_sim
11,0.8206999999999893,medium,1.0,0.0,exposure_composite_sim
43,1.007100000000016,medium,1.0,0.0,exposure_composite_sim
30,-0.5270000000000191,high,0.0,1.0,exposure_admin
51,-0.47479999999997025,high,0.0,1.0,exposure_admin
52,-0.43529999999999197,high,0.0,1.0,exposure_admin
62,-0.3768000000000026,high,0.0,1.0,exposure_admin
61,-0.27290000000000686,high,0.0,1.0,exposure_admin
42,-0.17270000000000038,high,0.0,1.0,exposure_admin
21,-3.7404999999999724,low,0.0,0.0,exposure_admin
22,-2.8298999999999688,low,0.0,0.0,exposure_admin
12,-2.3621000000000385,low,0.0,0.0,exposure_admin
13,-1.147500000000005,low,0.0,0.0,exposure_admin
23,-0.9032999999999979,low,0.0,0.0,exposure_admin
24,-0.8060000000000062,low,0.0,0.0,exposure_admin
43,-0.7474999999999908,medium,1.0,0.0,exposure_admin
53,-0.7278999999999923,medium,1.0,0.0,exposure_admin
41,-0.641300000000001,medium,1.0,0.0,exposure_admin
70,-0.5384999999999992,medium,1.0,0.0,exposure_admin
11,-0.5282000000000039,medium,1.0,0.0,exposure_admin
