exposure_spec,loo_variant,outcome,group,full_sample_coef,min_loo_coef,max_loo_coef,max_absolute_change,n_sign_changes,most_influential_region,max_assignment_changes
exposure_cov_hybrid,fixed_groups,matdep,high,0.008304632838594912,0.004546678495412946,0.013268043607204228,0.0049634107686093165,0,Cataluña,0
exposure_cov_hybrid,fixed_groups,matdep,medium,0.007068201264849717,0.003340170023195703,0.008789360149062456,0.003728031241654014,0,País Vasco,0
exposure_cov_hybrid,fixed_groups,poverty,high,-0.008396221042215922,-0.01725332555397895,-0.004381331481939787,0.008857104511763027,0,Comunidad de Madrid,0
exposure_cov_hybrid,fixed_groups,poverty,medium,-0.0014151131862935368,-0.01040453174801414,0.0038703372851772375,0.008989418561720603,4,Comunidad de Madrid,0
exposure_cov_hybrid,fixed_groups,poverty_gap,high,-0.0017073649105611248,-0.007461255449672755,0.000877359079854408,0.00575389053911163,1,Comunidad de Madrid,0
exposure_cov_hybrid,fixed_groups,poverty_gap,medium,-3.539762763076416e-05,-0.0058516713597286186,0.0025417698188655823,0.005816273732097854,8,Comunidad de Madrid,0
exposure_cov_hybrid,fixed_groups,poverty_gap_sq,high,0.0006051112119733086,-0.0033812516526782904,0.0024164433142170724,0.003986362864651599,3,Comunidad de Madrid,0
exposure_cov_hybrid,fixed_groups,poverty_gap_sq,medium,0.0012880830765384858,-0.002743919078273402,0.003093164512549377,0.004032002154811888,2,Comunidad de Madrid,0
exposure_cov_hybrid,reranked_groups,matdep,high,0.008304632838594912,0.005614568049163664,0.013268043607204228,0.0049634107686093165,0,Cataluña,2
exposure_cov_hybrid,reranked_groups,matdep,medium,0.007068201264849717,0.00178919670532446,0.007101565088080067,0.005279004559525257,0,País Vasco,2
exposure_cov_hybrid,reranked_groups,poverty,high,-0.008396221042215922,-0.014940733379081085,-0.004098876863094245,0.006544512336865163,0,Comunidad de Madrid,2
exposure_cov_hybrid,reranked_groups,poverty,medium,-0.0014151131862935368,-0.014072018037499872,-0.0013300668141106578,0.012656904851206335,0,Comunidad de Madrid,2
exposure_cov_hybrid,reranked_groups,poverty_gap,high,-0.0017073649105611248,-0.006581950785788248,0.00042854670056848894,0.004874585875227123,1,Comunidad de Madrid,2
exposure_cov_hybrid,reranked_groups,poverty_gap,medium,-3.539762763076416e-05,-0.005881527350556571,0.0012928661096808392,0.005846129722925806,6,Comunidad de Madrid,2
exposure_cov_hybrid,reranked_groups,poverty_gap_sq,high,0.0006051112119733086,-0.0033378911319090748,0.0016075708012178989,0.003943002343882384,3,Comunidad de Madrid,2
exposure_cov_hybrid,reranked_groups,poverty_gap_sq,medium,0.0012880830765384858,-0.0024740618561791493,0.002849533289398969,0.003762144932717635,3,Comunidad de Madrid,2
exposure_exp_hybrid,fixed_groups,matdep,high,0.00684370652593298,0.003458345668265169,0.011177228306889032,0.004333521780956052,0,País Vasco,0
exposure_exp_hybrid,fixed_groups,matdep,medium,-0.00045243895348042666,-0.0021539137856703195,0.001349346887070515,0.0018017858405509418,4,Cantabria,0
exposure_exp_hybrid,fixed_groups,poverty,high,0.0025785198462222637,-0.003889503940841719,0.006948800857101804,0.006468023787063983,1,Comunitat Valenciana,0
exposure_exp_hybrid,fixed_groups,poverty,medium,0.022828292486914408,0.018938504656504183,0.030732884367936746,0.007904591881022337,0,Castilla-La Mancha,0
exposure_exp_hybrid,fixed_groups,poverty_gap,high,-0.0008087280049758243,-0.00428645600554804,0.0007029612618524512,0.0034777280005722153,2,Comunitat Valenciana,0
exposure_exp_hybrid,fixed_groups,poverty_gap,medium,0.008974993213925982,0.0062136410006245904,0.01404059041726376,0.005065597203337779,0,Castilla-La Mancha,0
exposure_exp_hybrid,fixed_groups,poverty_gap_sq,high,-0.0005736414836981025,-0.0036058185710552966,0.0004406410750730335,0.003032177087357194,3,Comunitat Valenciana,0
exposure_exp_hybrid,fixed_groups,poverty_gap_sq,medium,0.005788382183317716,0.0039092942367487974,0.009048603191153344,0.0032602210078356278,0,Castilla-La Mancha,0
exposure_exp_hybrid,reranked_groups,matdep,high,0.00684370652593298,0.003458345668265169,0.011177228306889032,0.004333521780956052,0,País Vasco,2
exposure_exp_hybrid,reranked_groups,matdep,medium,-0.00045243895348042666,-0.00048501151377301267,0.004618531479009316,0.005070970432489743,11,Cantabria,2
exposure_exp_hybrid,reranked_groups,poverty,high,0.0025785198462222637,-0.003889503940841719,0.006948800857101804,0.006468023787063983,6,Comunitat Valenciana,2
exposure_exp_hybrid,reranked_groups,poverty,medium,0.022828292486914408,0.011400238679637666,0.02482768093069453,0.011428053807276742,0,Comunidad de Madrid,2
exposure_exp_hybrid,reranked_groups,poverty_gap,high,-0.0008087280049758243,-0.00428645600554804,0.0007029612618524512,0.0034777280005722153,1,Comunitat Valenciana,2
exposure_exp_hybrid,reranked_groups,poverty_gap,medium,0.008974993213925982,0.0011417068577481483,0.009900296367749029,0.007833286356177834,0,Comunidad de Madrid,2
exposure_exp_hybrid,reranked_groups,poverty_gap_sq,high,-0.0005736414836981025,-0.0036058185710552966,0.0004406410750730335,0.003032177087357194,5,Comunitat Valenciana,2
exposure_exp_hybrid,reranked_groups,poverty_gap_sq,medium,0.005788382183317716,-0.0002172506361112865,0.005896750294125427,0.006005632819429002,1,Comunidad de Madrid,2
