outcome,n_obs,n_clusters,controls,control_spec,coef_medium,se_medium,ci_low_medium,ci_high_medium,pval_cluster_medium,coef_high,se_high,ci_low_high,ci_high_high,pval_cluster_high,exposure_spec,loo_variant,omitted_region,omitted_region_name,omitted_original_tercile,n_assignment_changes
poverty,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,-0.0014151131862935368,0.010680217786739112,-0.02405616346923888,0.02122593709665181,0.896241988328665,-0.008396221042215922,0.009585203183005245,-0.02871594406398118,0.011923501979549335,0.39401468477693946,exposure_cov_hybrid,full_sample,,Full sample,,0
matdep,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.007068201264849717,0.004955317169348472,-0.0034366018617741747,0.01757300439147361,0.172977811793936,0.008304632838594912,0.005419598884452298,-0.003184403556209116,0.01979366923339894,0.14497298125906055,exposure_cov_hybrid,full_sample,,Full sample,,0
poverty_gap,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,-3.539762763076416e-05,0.006051406538265444,-0.012863806415841826,0.012793011160580297,0.9954051239304547,-0.0017073649105611248,0.005323426109993937,-0.01299252413115006,0.009577794310027811,0.7525684633615515,exposure_cov_hybrid,full_sample,,Full sample,,0
poverty_gap_sq,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.0012880830765384858,0.004316103946517712,-0.007861648551674183,0.010437814704751155,0.769210917332068,0.0006051112119733086,0.004048321708568919,-0.007976947430974386,0.009187169854921004,0.8830489866523461,exposure_cov_hybrid,full_sample,,Full sample,,0
poverty,161507,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.0038703372851772375,0.0104075489982773,-0.018312828297592017,0.02605350286794649,0.7151847282145933,-0.008407185783500746,0.009585324810328593,-0.028837821994518474,0.01202345042751698,0.3942689665328605,exposure_cov_hybrid,fixed_groups,11.0,Galicia,medium,0
matdep,161507,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.007191267622601155,0.005814549202040702,-0.005202150631723458,0.01958468587692577,0.23518657724777703,0.008294036675840064,0.00542621438616851,-0.0032716655116687247,0.019859738863348853,0.14719640324022132,exposure_cov_hybrid,fixed_groups,11.0,Galicia,medium,0
poverty_gap,161507,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.0022996722069897843,0.006260680628844578,-0.011044652674255884,0.015643997088235453,0.7185112306080563,-0.0017137243541393303,0.005329499353514817,-0.013073283329249607,0.009645834620970946,0.7522274311349624,exposure_cov_hybrid,fixed_groups,11.0,Galicia,medium,0
poverty_gap_sq,161507,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.0028445195939600706,0.004434525539455415,-0.0066074478518853945,0.012296487039805536,0.5309114599563518,0.0006031788782728613,0.004056889647595134,-0.008043876717479945,0.009250234474025669,0.8837864481394913,exposure_cov_hybrid,fixed_groups,11.0,Galicia,medium,0
poverty,161507,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,-0.0013300668141106578,0.011028664256378332,-0.0248371082314996,0.022176974603278284,0.9056077745105491,-0.007087693915138492,0.00969369993630542,-0.02774932623916951,0.013573938408892525,0.475945901594786,exposure_cov_hybrid,reranked_groups,11.0,Galicia,medium,1
matdep,161507,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.004684625716028051,0.005540466735427981,-0.007124599589388974,0.016493851021445075,0.4111006491549518,0.00953676356084411,0.005742679789073879,-0.0027034686658727203,0.02177699578756094,0.11753091732389076,exposure_cov_hybrid,reranked_groups,11.0,Galicia,medium,1
poverty_gap,161507,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.0012928661096808392,0.005905404760530302,-0.011294206183498011,0.01387993840285969,0.8296561113503722,-0.0015996896714024515,0.005412767198799925,-0.013136729857505414,0.009937350514700509,0.7716330746142304,exposure_cov_hybrid,reranked_groups,11.0,Galicia,medium,1
poverty_gap_sq,161507,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.002849533289398969,0.004171704146642011,-0.006042243618170977,0.011741310196968916,0.5049817017474156,0.00040718858356987597,0.004132001891244536,-0.008399964969775426,0.009214342136915177,0.92280429795101,exposure_cov_hybrid,reranked_groups,11.0,Galicia,medium,1
poverty,165116,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,-0.002369503772018307,0.011489315941295148,-0.026858401013884536,0.022119393469847926,0.839380162501715,-0.008385304553658789,0.009609488747783144,-0.02886744497818295,0.012096835870865373,0.39663125470637706,exposure_cov_hybrid,fixed_groups,12.0,Principado de Asturias,medium,0
matdep,165116,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.007832481415441675,0.005418293082287243,-0.003716336912509147,0.019381299743392498,0.16886845467788936,0.008304705306787695,0.005434395672634614,-0.0032784348800413646,0.019887845493616753,0.14727972051311444,exposure_cov_hybrid,fixed_groups,12.0,Principado de Asturias,medium,0
poverty_gap,165116,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,-0.00032500182968730573,0.006499378440452048,-0.014178099053009829,0.013528095393635219,0.9607781459579661,-0.0016922775340979124,0.005337507195421325,-0.01306890482020073,0.009684349752004905,0.755572754753961,exposure_cov_hybrid,fixed_groups,12.0,Principado de Asturias,medium,0
poverty_gap_sq,165116,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.0010279646157499336,0.004586378804601216,-0.008747670403082317,0.010803599634582182,0.8256770961496853,0.0006185682493483948,0.004059673349564492,-0.008034420666701975,0.009271557165398764,0.8809265355526339,exposure_cov_hybrid,fixed_groups,12.0,Principado de Asturias,medium,0
poverty,165116,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,-0.006040951658422922,0.01118542294017132,-0.029882116301144974,0.017800212984299128,0.5970740676543991,-0.007060575765254338,0.00971743804132545,-0.027772804662442748,0.013651653131934071,0.4786644920596739,exposure_cov_hybrid,reranked_groups,12.0,Principado de Asturias,medium,1
matdep,165116,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.005436374636241501,0.005294568460327196,-0.005848730902458023,0.016721480174941024,0.3207965952942282,0.009549443123662665,0.005752474412510718,-0.0027116658487275434,0.02181055209605287,0.11765776793185223,exposure_cov_hybrid,reranked_groups,12.0,Principado de Asturias,medium,1
poverty_gap,165116,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,-0.0007911552109848593,0.006047917724499767,-0.013681986696452804,0.012099676274483084,0.8976603765942253,-0.0015762420029321194,0.005421063945715107,-0.013130966286477072,0.009978482280612832,0.7752146029476412,exposure_cov_hybrid,reranked_groups,12.0,Principado de Asturias,medium,1
poverty_gap_sq,165116,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.0013465939956034947,0.004317217138349823,-0.007855336512015112,0.0105485245032221,0.7594006200870618,0.0004230865719230702,0.004135066692308192,-0.008390599450256591,0.009236772594102733,0.9198605459532292,exposure_cov_hybrid,reranked_groups,12.0,Principado de Asturias,medium,1
poverty,166030,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,-0.0014510842581910023,0.011383841819254456,-0.025715168730565285,0.022813000214183282,0.9002625430891871,-0.00837712400121214,0.009610268717378046,-0.028860926891574906,0.012106678889150626,0.397118336446993,exposure_cov_hybrid,fixed_groups,13.0,Cantabria,medium,0
matdep,166030,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.0038098006423295462,0.0037977155105251488,-0.004284838356744595,0.011904439641403686,0.33168243763157723,0.008290018898880596,0.005437375220136731,-0.0032994720431178265,0.01987950984087902,0.14815445219665802,exposure_cov_hybrid,fixed_groups,13.0,Cantabria,medium,0
poverty_gap,166030,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,-0.0008696533116879293,0.006347949933910884,-0.014399988313558492,0.012660681690182635,0.8928546747187451,-0.0017062090186538612,0.005335291639580074,-0.013078113959265681,0.009665695921957958,0.7535333492178771,exposure_cov_hybrid,fixed_groups,13.0,Cantabria,medium,0
poverty_gap_sq,166030,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.0007361077376315153,0.004493393261518807,-0.008841333287654105,0.010313548762917134,0.8720597679057422,0.000602183277555234,0.004056263943977244,-0.008043538662505567,0.009247905217616034,0.8839590134615913,exposure_cov_hybrid,fixed_groups,13.0,Cantabria,medium,0
poverty,166030,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,-0.005159367170161203,0.011133331737764764,-0.02888950204318614,0.018570767702863734,0.6497188705761197,-0.007052733312385059,0.009718389051688136,-0.02776698924017884,0.013661522615408721,0.4791871306526412,exposure_cov_hybrid,reranked_groups,13.0,Cantabria,medium,1
matdep,166030,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.002162664804541113,0.004068410664725402,-0.006508947257938392,0.010834276867020617,0.6028045173597145,0.00953146807752542,0.005755355883823752,-0.0027357826055854993,0.02179871876063634,0.11846513594324493,exposure_cov_hybrid,reranked_groups,13.0,Cantabria,medium,1
poverty_gap,166030,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,-0.0012384378248465097,0.005945960077856243,-0.01391195173070977,0.011435076081016751,0.8378103365712621,-0.0015872728502835198,0.005418373580408094,-0.013136262755917448,0.009961717055350408,0.7735795615453327,exposure_cov_hybrid,reranked_groups,13.0,Cantabria,medium,1
poverty_gap_sq,166030,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.0010845037473669792,0.004257092117771257,-0.00798927331246267,0.01015828080719663,0.8023740601117368,0.0004099331430995139,0.004131547119454794,-0.008396251087121208,0.009216117373320237,0.9222772655446163,exposure_cov_hybrid,reranked_groups,13.0,Cantabria,medium,1
poverty,162734,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,-0.0005332997321916066,0.012109407472636013,-0.02634389078673979,0.025277291322356576,0.965453352768072,-0.007530103254778064,0.011140469993053358,-0.03127545295879396,0.016215246449237837,0.5093771780926342,exposure_cov_hybrid,fixed_groups,21.0,País Vasco,low,0
matdep,162734,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.003340170023195703,0.004002885650661796,-0.00519177877783513,0.011872118824226535,0.4171245909419219,0.004546678495412946,0.004525081423274315,-0.0050983042478460775,0.014191661238671969,0.33094063102993654,exposure_cov_hybrid,fixed_groups,21.0,País Vasco,low,0
poverty_gap,162734,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,-0.0008973661410187243,0.007192252455806361,-0.016227289369498375,0.014432557087460926,0.9023636121886565,-0.0025660936388491526,0.006576241391155163,-0.016583020363518212,0.011450833085819909,0.7018688909643864,exposure_cov_hybrid,fixed_groups,21.0,País Vasco,low,0
poverty_gap_sq,162734,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,9.699714969790115e-05,0.0051959338335601,-0.010977873658602439,0.011171867957998242,0.9853520918273175,-0.0005834298488720495,0.004962789081245329,-0.011161364380801423,0.009994504683057326,0.9079753306961695,exposure_cov_hybrid,fixed_groups,21.0,País Vasco,low,0
poverty,162734,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,-0.005865143440630549,0.011463905598099622,-0.030299879818040158,0.01856959293677906,0.6163669269652481,-0.006888573323194226,0.01007111103871283,-0.028354638369940732,0.014577491723552279,0.5044099721326436,exposure_cov_hybrid,reranked_groups,21.0,País Vasco,low,2
matdep,162734,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.00178919670532446,0.004256866929159109,-0.007284100376340162,0.010862493786989082,0.6802193141296446,0.005877632746014345,0.004767187781107348,-0.0042833874836250285,0.016038652975653718,0.23657411943162243,exposure_cov_hybrid,reranked_groups,21.0,País Vasco,low,2
poverty_gap,162734,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,-0.0018054207437327328,0.006407222730807292,-0.0154620927216122,0.011851251234146737,0.7819633138779651,-0.002558077246814717,0.005821712171103513,-0.014966763008293115,0.009850608514663682,0.6666338546534971,exposure_cov_hybrid,reranked_groups,21.0,País Vasco,low,2
poverty_gap_sq,162734,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,-0.0001107675605005773,0.004629361203916773,-0.00997801739482104,0.009756482273819884,0.98122610100847,-0.0010082643792859967,0.004461628341260899,-0.010518000079723158,0.008501471321151165,0.8242628867948034,exposure_cov_hybrid,reranked_groups,21.0,País Vasco,low,2
poverty,166494,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.0025910563076743495,0.009888330382287772,-0.018485420991997847,0.023667533607346546,0.796861201916224,-0.004381331481939787,0.008714245067442008,-0.02295530517083557,0.014192642206955998,0.6224215455141366,exposure_cov_hybrid,fixed_groups,22.0,Comunidad Foral de Navarra,low,0
matdep,166494,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.007521431044166805,0.00523956348426444,-0.0036464341633002323,0.018689296251633843,0.1716669298395217,0.008749423098885198,0.00567794785019413,-0.0033528362661231874,0.020851682463893583,0.14415809997910078,exposure_cov_hybrid,fixed_groups,22.0,Comunidad Foral de Navarra,low,0
poverty_gap,166494,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.0025417698188655823,0.005341328886277222,-0.008843003208475307,0.013926542846206471,0.6410245901770151,0.000877359079854408,0.004506665594300559,-0.008728371253107397,0.010483089412816211,0.8482554656411803,exposure_cov_hybrid,fixed_groups,22.0,Comunidad Foral de Navarra,low,0
poverty_gap_sq,166494,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.003093164512549377,0.003858756367468598,-0.0051315799933174585,0.011317909018416212,0.43530184885702905,0.0024164433142170724,0.0035615796740437688,-0.005174884063498453,0.010007770691932597,0.5078034430812002,exposure_cov_hybrid,fixed_groups,22.0,Comunidad Foral de Navarra,low,0
poverty,166494,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,-0.0031282140614121196,0.009912217659395976,-0.024255605887021258,0.01799917776419702,0.7566606944129992,-0.004098876863094245,0.008271482084448266,-0.02172912359309733,0.01353136986690884,0.6273977651336007,exposure_cov_hybrid,reranked_groups,22.0,Comunidad Foral de Navarra,low,2
matdep,166494,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.005396165868174836,0.005212424568183937,-0.005713854108945427,0.0165061858452951,0.3169544792030301,0.009502954252052786,0.005661641364473885,-0.0025645486613775064,0.02157045716548308,0.11395888957538824,exposure_cov_hybrid,reranked_groups,22.0,Comunidad Foral de Navarra,low,2
poverty_gap,166494,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.0011851372539612357,0.005053204998078939,-0.009585514242814508,0.011955788750736978,0.8177434079558679,0.00042854670056848894,0.004308658398483845,-0.008755141284852214,0.009612234685989192,0.9220887551000614,exposure_cov_hybrid,reranked_groups,22.0,Comunidad Foral de Navarra,low,2
poverty_gap_sq,166494,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.0025133651141545344,0.003671066575688856,-0.005311328070317161,0.01033805829862623,0.504012178005,0.0016075708012178989,0.0034728236463361585,-0.005794577581574551,0.009009719184010348,0.6500803459844007,exposure_cov_hybrid,reranked_groups,22.0,Comunidad Foral de Navarra,low,2
poverty,166634,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.0024324468755941874,0.010013594425122185,-0.0189110244112524,0.023775918162440776,0.8113620532941095,-0.004561562178305684,0.008856581931353356,-0.023438919711101718,0.01431579535449035,0.6140257994134735,exposure_cov_hybrid,fixed_groups,23.0,La Rioja,low,0
matdep,166634,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.006738915665888887,0.0052762673121603985,-0.004507181898867294,0.017985013230645067,0.2209435739730503,0.007993305316345014,0.005710725788541115,-0.004178818570457439,0.020165429203147466,0.18194410946704975,exposure_cov_hybrid,fixed_groups,23.0,La Rioja,low,0
poverty_gap,166634,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.0006831343601340993,0.006312019104388228,-0.012770615891478813,0.014136884611747013,0.9152496322827715,-0.000992778243963813,0.005616415342768262,-0.012963884173982178,0.010978327686054553,0.8620585944611008,exposure_cov_hybrid,fixed_groups,23.0,La Rioja,low,0
poverty_gap_sq,166634,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.001461844925538918,0.004623062520495585,-0.008391979582865828,0.011315669433943664,0.7562028111063155,0.0007770864339038502,0.00437150320847212,-0.008540552093207154,0.010094724961014854,0.8612883388829522,exposure_cov_hybrid,fixed_groups,23.0,La Rioja,low,0
poverty,166634,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,-0.0032716520271366505,0.010011074584085788,-0.024609752399951328,0.018066448345678027,0.7483324034444516,-0.004264351531464973,0.008386396452289465,-0.02213953243858147,0.013610829375651525,0.6185100628833076,exposure_cov_hybrid,reranked_groups,23.0,La Rioja,low,2
matdep,166634,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.004721494517947919,0.005238942620119695,-0.006445047348919947,0.015888036384815785,0.38170856108364015,0.008860522071640464,0.005683570929060539,-0.003253722602262376,0.020974766745543303,0.1398488625954486,exposure_cov_hybrid,reranked_groups,23.0,La Rioja,low,2
poverty_gap,166634,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,-0.00043090459147957134,0.005793775181526887,-0.012780044069220564,0.011918234886261422,0.9416958081925073,-0.0011925313863510873,0.00515078623720967,-0.012171172370927187,0.009786109598225014,0.820036278879051,exposure_cov_hybrid,reranked_groups,23.0,La Rioja,low,2
poverty_gap_sq,166634,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.0010937504342747144,0.004246157281217935,-0.007956719573152587,0.010144220441702016,0.8002267479308265,0.0001873144407972669,0.004069483921758535,-0.008486585214897778,0.008861214096492313,0.963894319893869,exposure_cov_hybrid,reranked_groups,23.0,La Rioja,low,2
poverty,164287,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,-0.003873712808803941,0.011931467385391734,-0.02930503354525844,0.021557607927650557,0.749919388492851,-0.010828011920702839,0.010929012229712973,-0.03412265007114179,0.01246662622973611,0.337517460202049,exposure_cov_hybrid,fixed_groups,24.0,Aragón,low,0
matdep,164287,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.008789360149062456,0.00502945684039756,-0.00193067334781543,0.019509393645940343,0.10097119069375649,0.010033976151626883,0.005488175153663698,-0.0016637922856020584,0.021731744588855822,0.08746085326385167,exposure_cov_hybrid,fixed_groups,24.0,Aragón,low,0
poverty_gap,164287,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.00033625065707183354,0.006621234322310003,-0.013776576230260611,0.01444907754440428,0.9601679859411474,-0.0013163818086159354,0.0059500166793539115,-0.013998542155897917,0.011365778538666048,0.8278890408296613,exposure_cov_hybrid,fixed_groups,24.0,Aragón,low,0
poverty_gap_sq,164287,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.0019339635853963977,0.0046350094342894966,-0.007945325166985224,0.01181325233777802,0.6824051994499727,0.0012696323205731907,0.0043783177328945225,-0.008062531021521147,0.01060179566266753,0.7758003677253087,exposure_cov_hybrid,fixed_groups,24.0,Aragón,low,0
poverty,164287,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,-0.008731607849280317,0.011295738028701903,-0.032807903537319265,0.015344687838758633,0.451532129548039,-0.00967016510527561,0.009865795918778314,-0.03069861133294114,0.011358281122389917,0.34254727578719235,exposure_cov_hybrid,reranked_groups,24.0,Aragón,low,2
matdep,164287,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.006458756198413403,0.005064576586244835,-0.004336133264790832,0.01725364566161764,0.22160820940139003,0.010597448173278552,0.005524953446403367,-0.001178711339296824,0.022373607685853926,0.07433713446594248,exposure_cov_hybrid,reranked_groups,24.0,Aragón,low,2
poverty_gap,164287,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,-0.0007378287853674908,0.006017840752050884,-0.013564552721577448,0.012088895150842466,0.904046013895011,-0.0014733788468777246,0.005390545259039273,-0.012963054089576388,0.010016296395820938,0.7883297024270219,exposure_cov_hybrid,reranked_groups,24.0,Aragón,low,2
poverty_gap_sq,164287,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.0014882843634080132,0.004261663077301915,-0.00759523546603603,0.010571804192852056,0.7317736689883576,0.0006021644115239592,0.004079384693252198,-0.008092838239071944,0.009297167062119863,0.8846151968326623,exposure_cov_hybrid,reranked_groups,24.0,Aragón,low,2
poverty,154296,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,-0.01040453174801414,0.010728164029355754,-0.0332710720930752,0.012462008597046917,0.34750892963174906,-0.01725332555397895,0.009688847178546105,-0.037904614469689166,0.0033979633617312634,0.09521194266615196,exposure_cov_hybrid,fixed_groups,30.0,Comunidad de Madrid,low,0
matdep,154296,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.0075627973019038374,0.006466521929154472,-0.006220267925344788,0.02134586252915246,0.26043879083408417,0.00885405834103831,0.006841127545382559,-0.005727459856683811,0.02343557653876043,0.21515437923746994,exposure_cov_hybrid,fixed_groups,30.0,Comunidad de Madrid,low,0
poverty_gap,154296,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,-0.0058516713597286186,0.005581680833442735,-0.01774874243562985,0.006045399716172612,0.31106699679997485,-0.007461255449672755,0.00480189399880448,-0.01769625023125078,0.002773739331905269,0.1410703335165815,exposure_cov_hybrid,fixed_groups,30.0,Comunidad de Madrid,low,0
poverty_gap_sq,154296,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,-0.002743919078273402,0.004363417633720248,-0.012044323610753938,0.006556485454207133,0.5389087880453709,-0.0033812516526782904,0.004113140456641922,-0.012148203009811244,0.005385699704454664,0.42391739794921524,exposure_cov_hybrid,fixed_groups,30.0,Comunidad de Madrid,low,0
poverty,154296,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,-0.014072018037499872,0.010169238478884485,-0.035747236772007196,0.007603200697007451,0.1866716746416901,-0.014940733379081085,0.008623439847210817,-0.033321160322580645,0.003439693564418476,0.10367577462426136,exposure_cov_hybrid,reranked_groups,30.0,Comunidad de Madrid,low,2
matdep,154296,16,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,preferred_demographic,0.005279541631111683,0.006024364624952143,-0.007561087611028952,0.01812017087325232,0.39465008828998904,0.009477623798887568,0.006423574820248233,-0.004213901832599747,0.02316914943037488,0.16077425248626054,exposure_cov_hybrid,reranked_groups,30.0,Comunidad de Madrid,low,2
