model,exposure_spec,outcome,term,coef,se,ci_low,ci_high,pval_crv1,pval_wbt,fake_treatment_year,n_obs,n_clusters,verdict
continuous_placebo,exposure_composite_hybrid,poverty,post_fake_x_exp,-0.00840921557969672,0.004625574915430676,-0.018214996354863115,0.0013965651954696758,0.0878386562713982,0.11031103110311032,2019,42249,17,consistent_with_parallel_pretrends
continuous_placebo,exposure_composite_hybrid,matdep,post_fake_x_exp,-0.002009695471197579,0.0020358744877049437,-0.006325556586232646,0.0023061656438374883,0.33826723412376825,0.32413241324132414,2019,42249,17,consistent_with_parallel_pretrends
continuous_placebo,exposure_composite_hybrid,poverty_gap,post_fake_x_exp,-0.0030075736502158997,0.0018495074496528582,-0.006928354293684181,0.000913206993252382,0.1234493055952599,0.19681968196819682,2019,42249,17,consistent_with_parallel_pretrends
continuous_placebo,exposure_composite_hybrid,poverty_gap_sq,post_fake_x_exp,-0.001538700721724295,0.0011336684919934575,-0.003941970565461394,0.0008645691220128039,0.1935320627710997,0.25472547254725475,2019,42249,17,consistent_with_parallel_pretrends
continuous_placebo,exposure_exp_hybrid,poverty,post_fake_x_exp,-0.0017117956654273134,0.005821489375909913,-0.014052801842778972,0.010629210511924343,0.7725018019111565,0.8032803280328032,2019,42249,17,consistent_with_parallel_pretrends
continuous_placebo,exposure_exp_hybrid,matdep,post_fake_x_exp,-0.0015118862457126046,0.0025019138369455295,-0.006815706646848415,0.003791934155423206,0.5541225294656826,0.5608560856085608,2019,42249,17,consistent_with_parallel_pretrends
continuous_placebo,exposure_exp_hybrid,poverty_gap,post_fake_x_exp,-0.0006358843666219239,0.002526486960093449,-0.005991797461737424,0.004720028728493577,0.8044870771396626,0.8234823482348235,2019,42249,17,consistent_with_parallel_pretrends
continuous_placebo,exposure_exp_hybrid,poverty_gap_sq,post_fake_x_exp,-0.0003264950653856416,0.0015805371012880358,-0.00367708404202195,0.0030240939112506663,0.8389497932108674,0.8533853385338533,2019,42249,17,consistent_with_parallel_pretrends
continuous_placebo,exposure_cov_hybrid,poverty,post_fake_x_exp,-0.009221211595897711,0.0037962203925215403,-0.017268839323015914,-0.0011735838687795073,0.027292102703494026,0.030803080308030802,2019,42249,17,pretrend_concern
continuous_placebo,exposure_cov_hybrid,matdep,post_fake_x_exp,-0.0016173644624985128,0.0014851174675265034,-0.004765672851873997,0.0015309439268769711,0.29226458380681475,0.24412441244124414,2019,42249,17,consistent_with_parallel_pretrends
continuous_placebo,exposure_cov_hybrid,poverty_gap,post_fake_x_exp,-0.0032854204811371855,0.0012773615917123456,-0.0059933060884298835,-0.0005775348738444874,0.020469657732826274,0.0773077307730773,2019,42249,17,pretrend_concern
continuous_placebo,exposure_cov_hybrid,poverty_gap_sq,post_fake_x_exp,-0.0016802021175504845,0.0007777367151131869,-0.0033289303013178603,-3.147393378310852e-05,0.04625842179273176,0.1397139713971397,2019,42249,17,consistent_with_parallel_pretrends
continuous_placebo,exposure_composite_sim,poverty,post_fake_x_exp,-0.008546134343338363,0.004791825813368764,-0.01882357855867259,0.0017313098719958647,0.09619265295380286,0.1251125112511251,2019,39542,15,consistent_with_parallel_pretrends
continuous_placebo,exposure_composite_sim,matdep,post_fake_x_exp,-0.002427111700818946,0.0022257602460803013,-0.007200892647108631,0.0023466692454707397,0.2939219726126656,0.2733273327332733,2019,39542,15,consistent_with_parallel_pretrends
continuous_placebo,exposure_composite_sim,poverty_gap,post_fake_x_exp,-0.002684120057939183,0.0021830662724783767,-0.007366331537993147,0.001998091422114781,0.2391411543348123,0.2958295829582958,2019,39542,15,consistent_with_parallel_pretrends
continuous_placebo,exposure_composite_sim,poverty_gap_sq,post_fake_x_exp,-0.0012933589861484974,0.001393900083357451,-0.004282977329221075,0.0016962593569240807,0.36919608044301633,0.3947394739473947,2019,39542,15,consistent_with_parallel_pretrends
continuous_placebo,exposure_admin,poverty,post_fake_x_exp,-0.007867519475117405,0.003960544446531286,-0.016263498635120388,0.0005284596848855773,0.06438476655706826,0.12281228122812281,2019,42249,17,consistent_with_parallel_pretrends
continuous_placebo,exposure_admin,matdep,post_fake_x_exp,-0.0003896867319370847,0.0012850173075387096,-0.0031138017317794238,0.0023344282679052548,0.7656037946895662,0.7684768476847684,2019,42249,17,consistent_with_parallel_pretrends
continuous_placebo,exposure_admin,poverty_gap,post_fake_x_exp,-0.0034947444479044233,0.0014107143919407919,-0.0064853253630673974,-0.0005041635327414488,0.02477980411609182,0.09950995099509952,2019,42249,17,pretrend_concern
continuous_placebo,exposure_admin,poverty_gap_sq,post_fake_x_exp,-0.0020447589233754558,0.000826485937838729,-0.003796830842731626,-0.0002926870040192856,0.02494182078599727,0.09500950095009501,2019,42249,17,pretrend_concern
