year,exposure_tercile,mean_outcome,n_obs,n_regions,outcome,exposure_spec
2017,high,0.21566587395957193,6728,6,poverty,exposure_cov_hybrid
2017,low,0.11907417735638595,3586,6,poverty,exposure_cov_hybrid
2017,medium,0.18550905683947533,3202,5,poverty,exposure_cov_hybrid
2018,high,0.2179054054054054,6512,6,poverty,exposure_cov_hybrid
2018,low,0.1305832147937411,3515,6,poverty,exposure_cov_hybrid
2018,medium,0.19851517107811492,3098,5,poverty,exposure_cov_hybrid
2019,high,0.21018472291562657,8012,6,poverty,exposure_cov_hybrid
2019,low,0.11861493123772102,4072,6,poverty,exposure_cov_hybrid
2019,medium,0.19494892167990918,3524,5,poverty,exposure_cov_hybrid
2021,high,0.22857142857142856,10290,6,poverty,exposure_cov_hybrid
2021,low,0.14118481731110322,5638,6,poverty,exposure_cov_hybrid
2021,medium,0.2068819031435854,4708,5,poverty,exposure_cov_hybrid
2022,high,0.21555319322920927,12229,6,poverty,exposure_cov_hybrid
2022,low,0.13087195600942655,6365,6,poverty,exposure_cov_hybrid
2022,medium,0.19790497568275345,5346,5,poverty,exposure_cov_hybrid
2023,high,0.2115286017725042,13653,6,poverty,exposure_cov_hybrid
2023,low,0.1289433806309409,7259,6,poverty,exposure_cov_hybrid
2023,medium,0.1981753674607197,5919,5,poverty,exposure_cov_hybrid
2024,high,0.19780668891764866,14681,6,poverty,exposure_cov_hybrid
2024,low,0.11379818315737786,8146,6,poverty,exposure_cov_hybrid
2024,medium,0.18768149167048753,6543,5,poverty,exposure_cov_hybrid
2025,high,0.1944049312470365,14763,6,poverty,exposure_cov_hybrid
2025,low,0.10929101612490402,7814,6,poverty,exposure_cov_hybrid
2025,medium,0.1824577861163227,6396,5,poverty,exposure_cov_hybrid
2017,high,0.061087990487514864,6728,6,matdep,exposure_cov_hybrid
2017,low,0.0309537088678193,3586,6,matdep,exposure_cov_hybrid
2017,medium,0.02873204247345409,3202,5,matdep,exposure_cov_hybrid
2018,high,0.059735872235872234,6512,6,matdep,exposure_cov_hybrid
2018,low,0.03613086770981508,3515,6,matdep,exposure_cov_hybrid
2018,medium,0.03486120077469335,3098,5,matdep,exposure_cov_hybrid
2019,high,0.05391912131802296,8012,6,matdep,exposure_cov_hybrid
2019,low,0.032170923379174855,4072,6,matdep,exposure_cov_hybrid
2019,medium,0.03348467650397276,3524,5,matdep,exposure_cov_hybrid
2021,high,0.08775510204081632,10290,6,matdep,exposure_cov_hybrid
2021,low,0.050727208229868745,5638,6,matdep,exposure_cov_hybrid
2021,medium,0.04927782497875956,4708,5,matdep,exposure_cov_hybrid
2022,high,0.08684275083817156,12229,6,matdep,exposure_cov_hybrid
2022,low,0.05011783189316575,6365,6,matdep,exposure_cov_hybrid
2022,medium,0.05985783763561541,5346,5,matdep,exposure_cov_hybrid
2023,high,0.0949974364608511,13653,6,matdep,exposure_cov_hybrid
2023,low,0.059925609588097534,7259,6,matdep,exposure_cov_hybrid
2023,medium,0.064537928704173,5919,5,matdep,exposure_cov_hybrid
2024,high,0.08105714869559294,14681,6,matdep,exposure_cov_hybrid
2024,low,0.05069972992879941,8146,6,matdep,exposure_cov_hybrid
2024,medium,0.05960568546538285,6543,5,matdep,exposure_cov_hybrid
2025,high,0.0770168664905507,14763,6,matdep,exposure_cov_hybrid
2025,low,0.04888661377015613,7814,6,matdep,exposure_cov_hybrid
2025,medium,0.05847404627892433,6396,5,matdep,exposure_cov_hybrid
2017,high,0.07992959396608464,6728,6,poverty_gap,exposure_cov_hybrid
2017,low,0.04759610944077881,3586,6,poverty_gap,exposure_cov_hybrid
2017,medium,0.06924946010524004,3202,5,poverty_gap,exposure_cov_hybrid
2018,high,0.07486555380801171,6512,6,poverty_gap,exposure_cov_hybrid
2018,low,0.04976282222931335,3515,6,poverty_gap,exposure_cov_hybrid
2018,medium,0.07041937028515388,3098,5,poverty_gap,exposure_cov_hybrid
2019,high,0.07524902711244728,8012,6,poverty_gap,exposure_cov_hybrid
2019,low,0.04598772343451559,4072,6,poverty_gap,exposure_cov_hybrid
2019,medium,0.06754940298959301,3524,5,poverty_gap,exposure_cov_hybrid
2021,high,0.08185406467902072,10290,6,poverty_gap,exposure_cov_hybrid
2021,low,0.05224892234186423,5638,6,poverty_gap,exposure_cov_hybrid
2021,medium,0.07134590572404159,4708,5,poverty_gap,exposure_cov_hybrid
2022,high,0.07189413023243131,12229,6,poverty_gap,exposure_cov_hybrid
2022,low,0.04320819042765966,6365,6,poverty_gap,exposure_cov_hybrid
2022,medium,0.064432899011364,5346,5,poverty_gap,exposure_cov_hybrid
2023,high,0.06981834589126125,13653,6,poverty_gap,exposure_cov_hybrid
