year,exposure_tercile,mean_outcome,n_obs,n_regions,outcome,exposure_spec
2017,high,0.22671897584142062,4843,6,poverty,exposure_exp_hybrid
2017,low,0.15812449474535165,6185,6,poverty,exposure_exp_hybrid
2017,medium,0.15916398713826366,2488,5,poverty,exposure_exp_hybrid
2018,high,0.2328883237974147,4719,6,poverty,exposure_exp_hybrid
2018,low,0.162755615152531,5966,6,poverty,exposure_exp_hybrid
2018,medium,0.17336065573770493,2440,5,poverty,exposure_exp_hybrid
2019,high,0.22072305829441274,5781,6,poverty,exposure_exp_hybrid
2019,low,0.16030092592592593,6912,6,poverty,exposure_exp_hybrid
2019,medium,0.16123499142367068,2915,5,poverty,exposure_exp_hybrid
2021,high,0.2475614782250309,7279,6,poverty,exposure_exp_hybrid
2021,low,0.16432629435094864,9329,6,poverty,exposure_exp_hybrid
2021,medium,0.19538232373386297,4028,5,poverty,exposure_exp_hybrid
2022,high,0.2335976928622927,8322,6,poverty,exposure_exp_hybrid
2022,low,0.15877712031558186,11154,6,poverty,exposure_exp_hybrid
2022,medium,0.18189964157706093,4464,5,poverty,exposure_exp_hybrid
2023,high,0.2335612835349816,9505,6,poverty,exposure_exp_hybrid
2023,low,0.15031836866285161,12407,6,poverty,exposure_exp_hybrid
2023,medium,0.18540353730433015,4919,5,poverty,exposure_exp_hybrid
2024,high,0.21414843964491626,10927,6,poverty,exposure_exp_hybrid
2024,low,0.13661581137309292,12978,6,poverty,exposure_exp_hybrid
2024,medium,0.17310155535224153,5465,5,poverty,exposure_exp_hybrid
2025,high,0.21082885221583533,10786,6,poverty,exposure_exp_hybrid
2025,low,0.13682588597842835,12980,6,poverty,exposure_exp_hybrid
2025,medium,0.16151334741693874,5207,5,poverty,exposure_exp_hybrid
2017,high,0.056576502168077636,4843,6,matdep,exposure_exp_hybrid
2017,low,0.0444624090541633,6185,6,matdep,exposure_exp_hybrid
2017,medium,0.02612540192926045,2488,5,matdep,exposure_exp_hybrid
2018,high,0.052129688493324854,4719,6,matdep,exposure_exp_hybrid
2018,low,0.0484411666107945,5966,6,matdep,exposure_exp_hybrid
2018,medium,0.03647540983606557,2440,5,matdep,exposure_exp_hybrid
2019,high,0.04739664417920775,5781,6,matdep,exposure_exp_hybrid
2019,low,0.04513888888888889,6912,6,matdep,exposure_exp_hybrid
2019,medium,0.032590051457975985,2915,5,matdep,exposure_exp_hybrid
2021,high,0.08242890506937767,7279,6,matdep,exposure_exp_hybrid
2021,low,0.06613784971593954,9329,6,matdep,exposure_exp_hybrid
2021,medium,0.0506454816285998,4028,5,matdep,exposure_exp_hybrid
2022,high,0.08267243451093487,8322,6,matdep,exposure_exp_hybrid
2022,low,0.06840595302133763,11154,6,matdep,exposure_exp_hybrid
2022,medium,0.05600358422939068,4464,5,matdep,exposure_exp_hybrid
2023,high,0.09605470804839558,9505,6,matdep,exposure_exp_hybrid
2023,low,0.07205609736439107,12407,6,matdep,exposure_exp_hybrid
2023,medium,0.06241105915836552,4919,5,matdep,exposure_exp_hybrid
2024,high,0.0799853573716482,10927,6,matdep,exposure_exp_hybrid
2024,low,0.0646478656187394,12978,6,matdep,exposure_exp_hybrid
2024,medium,0.05123513266239707,5465,5,matdep,exposure_exp_hybrid
2025,high,0.07574633784535509,10786,6,matdep,exposure_exp_hybrid
2025,low,0.06302003081664098,12980,6,matdep,exposure_exp_hybrid
2025,medium,0.04954868446322259,5207,5,matdep,exposure_exp_hybrid
2017,high,0.08613796664250425,4843,6,poverty_gap,exposure_exp_hybrid
2017,low,0.05969091218698075,6185,6,poverty_gap,exposure_exp_hybrid
2017,medium,0.05780878761628005,2488,5,poverty_gap,exposure_exp_hybrid
2018,high,0.08365468913563323,4719,6,poverty_gap,exposure_exp_hybrid
2018,low,0.058003197508975535,5966,6,poverty_gap,exposure_exp_hybrid
2018,medium,0.05728953332279271,2440,5,poverty_gap,exposure_exp_hybrid
2019,high,0.08056525943117179,5781,6,poverty_gap,exposure_exp_hybrid
2019,low,0.057249164663817055,6912,6,poverty_gap,exposure_exp_hybrid
2019,medium,0.05720319734397711,2915,5,poverty_gap,exposure_exp_hybrid
2021,high,0.09095321703767277,7279,6,poverty_gap,exposure_exp_hybrid
2021,low,0.05744149388628567,9329,6,poverty_gap,exposure_exp_hybrid
2021,medium,0.06823091126538292,4028,5,poverty_gap,exposure_exp_hybrid
2022,high,0.07975473114072071,8322,6,poverty_gap,exposure_exp_hybrid
